Model,Scenario,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category,Category_name
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,363.2666,429.225,357.2447,367.6822,397.9999,429.9472,459.8516,479.5921,498.433,524.0021,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2020_Med2C,363.2666,429.2076,372.185,428.5048,475.8979,500.1859,525.0792,556.4665,579.6221,589.9357,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2020_WB2C,363.2666,429.2076,371.949,391.2446,430.7277,444.3923,463.2283,493.8867,516.9544,526.0832,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_Med2C,363.2658,427.4082,458.5632,403.9794,449.61,481.3713,508.1055,543.3047,568.8793,576.9094,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,363.3337,429.8487,458.2498,366.6559,393.1154,419.3446,445.0109,467.5039,486.2375,510.2482,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_WB2C,363.2658,427.4082,458.5632,403.649,406.1247,424.2715,440.8957,469.8857,492.8544,504.7931,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_INDC,363.3337,429.4689,460.1276,491.0943,521.6761,548.0024,528.3219,537.5308,546.1222,556.1698,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_NoPolicy,363.2582,434.3219999999999,498.2469,552.0869,590.5196,623.4162,658.8269,688.8004,708.7280000000003,718.9629,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_Reference,363.3337,429.4689,495.3509,550.5221,590.8244,624.9,657.9483,690.7642,711.1308,719.9565,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_BCOC-EndU,343.3529,405.1566,461.9854,511.1983,546.409,572.3109,598.1431,618.5584,634.3381,646.5942,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Baseline,343.3178,405.3774,462.9353,511.8458,546.8505,572.5918,598.3412,618.6949,634.4542,646.1569999999998,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_CH4-Only,343.3209,405.467,462.8481,511.8095,547.3038,572.9387,598.7015,618.8634,635.3594,647.9591,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy,343.2136,397.651,380.5998,427.5255,461.7942,470.7243,478.5851,488.594,494.8075,497.7847,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy+SLCF,356.7845,410.6818,378.8064,429.1435,465.9209,476.2651,483.5208,493.4739,499.3636,502.6881,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_BCOC-Red,343.3178,405.3774,462.9353,511.8458,546.8505,572.5918,598.3412,618.6949,634.4542,646.1569999999998,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_CH4-ClimPolicy,343.3203,405.4239,462.2896,510.641,544.7896,565.4454,577.4489,599.6329,619.6875,634.0542,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_CO2-Only,343.1454,397.9882,394.111,424.5536,439.7305,434.7472,433.6349,456.714,477.9067,496.4921,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-CH4,343.3178,405.3774,462.9353,511.8458,546.8505,572.5918,598.3412,618.6949,634.4542,646.1569999999998,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-EF,343.3178,405.3774,462.9353,511.8458,546.8505,572.5918,598.3412,618.6949,634.4542,646.1569999999998,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-EF-EndU,343.3178,405.3774,462.9353,511.8458,546.8505,572.5918,598.3412,618.6949,634.4542,646.1569999999998,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-EF-SLCF,343.3178,405.3774,462.9353,511.8458,546.8505,572.5918,598.3412,618.6949,634.4542,646.1569999999998,failed-vetting,failed-vetting
