Model,Scenario,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category,Category_name
AIM/CGE 2.0,EMF30_BCOC-EndU,0.1153,0.2997,0.7449,1.6653,3.3105,4.2304,5.1294,6.2459,7.2863,8.3959,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Baseline,0.1154,0.2987,0.7364,1.653,3.2945,4.2162,5.1151,6.2313,7.271,8.3912,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_CH4-Only,0.1152,0.3093,0.8105,1.8062,3.3071,3.9152,4.7199,5.7809,6.7067,7.6894,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy,0.116999999999999,0.5658000000000001,6.8772,17.9741,29.6121,39.852,51.0997,63.6132,79.619,109.6466,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy+SLCF,0.1167,0.5771000000000001,7.8215,18.7698,30.4527,40.5244,52.0336,64.6664,80.7479,110.1411,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_BCOC-Red,0.1154,0.2987,0.7364,1.653,3.2945,4.2162,5.1151,6.2313,7.271,8.3912,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_CH4-ClimPolicy,0.1152,0.3111,0.8079000000000001,1.8049,3.3423,4.0955,5.3888,6.5283,7.4138,8.3945,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_CO2-Only,0.1169,0.5645,5.6166,18.3725,35.5713,54.8382,89.9855,98.5906,104.5795,117.4771,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-CH4,0.1154,0.2987,0.7364,1.653,3.2945,4.2162,5.1151,6.2313,7.271,8.3912,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-EF,0.1154,0.2987,0.7364,1.653,3.2945,4.2162,5.1151,6.2313,7.271,8.3912,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-EF-EndU,0.1154,0.2987,0.7364,1.653,3.2945,4.2162,5.1151,6.2313,7.271,8.3912,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-EF-SLCF,0.1154,0.2987,0.7364,1.653,3.2945,4.2162,5.1151,6.2313,7.271,8.3912,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_SLCF,0.1152,0.3103,0.8201,1.8209,3.3253,3.9322,4.739,5.8041,6.7338,7.7223,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-Action,0.116999999999999,0.5262,3.3902,10.7009,21.8067,30.2629,37.6592,46.1997,55.0809,64.2623,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-Action+SLCF,0.116999999999999,0.5343,3.423,10.8642,22.1951,31.4048,39.3655,49.31100000000001,60.1627,72.6281,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-to-faster,0.116999999999999,0.5262,3.3961,21.3268,35.5829,43.2478,53.1215,66.1152,83.4406,110.8185,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-to-faster+SLCF,0.1169,0.5275000000000001,3.4102,20.9794,47.1419,79.9499,85.5042,93.1082,99.6614,113.9909,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-to-faster+SLCF+HFC,0.1169,0.5275000000000001,3.41,20.95,47.0385,79.6685,85.4742,93.07,99.6232,113.9515,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP1-19,0.1673,0.8885000000000001,14.6959,37.3203,61.8599,76.9727,84.56200000000003,89.7462,90.5736,90.0283,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP1-26,0.1671,0.8887,6.4068,23.2448,39.7676,47.5119,57.4876,60.8792,64.4978,64.9899,C3,C3: limit warming to 2°C (>67%)
AIM/CGE 2.0,SSP1-34,0.1671,0.8887,4.927,14.8367,29.4322,36.4372,42.6109,46.2879,48.6852,49.6503,C5,C5: limit warming to 2.5°C (>50%)
AIM/CGE 2.0,SSP1-45,0.1671,0.9495,4.6206,13.0674,24.9087,29.6634,34.0595,37.3317,40.663,42.9713,C6,C6: limit warming to 3°C (>50%)
AIM/CGE 2.0,SSP1-Baseline,0.1673,0.8129000000000001,3.528,11.2784,22.9547,29.2923,33.6211,35.7067,37.7794,38.8875,C7,C7: limit warming to 4°C (>50%)
AIM/CGE 2.0,SSP2-19,0.1163,0.421,12.7976,36.6393,54.06399999999999,73.4418,84.2002,96.7008,106.1403,113.2823,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP2-26,0.115999999999999,0.422,5.3569,20.1844,33.2618,40.7431,52.5215,61.7524,70.78399999999998,77.9772,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP2-34,0.115999999999999,0.422,3.2714,12.5189,24.576,30.0702,34.8689,40.7424,46.5727,52.6231,failed-vetting,failed-vetting
