Model,Scenario,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category,Category_name
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,172.4004,208.0745,177.4705,129.3119,115.7375,122.9769,129.2348,128.019,123.2697,156.7859,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2020_Med2C,172.4004,208.0696,189.501,212.6707,235.7401,239.117,241.8604,250.0147,252.6884,246.6346,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2020_WB2C,172.4004,208.0696,189.4163,171.0557,190.0204,173.5312,166.256,183.7135,190.4018,176.8148,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_Med2C,172.399,206.8052,215.5327,185.1121,206.117,217.8022,223.1308,238.5926,244.0238,235.4426,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,173.3541,211.387,216.0431,131.4287,113.2258,126.6159,132.0673,133.4133,129.9101,160.3925,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_WB2C,172.399,206.8052,215.5327,184.7159,136.6501,120.6219,103.0869,126.6804,138.2646,124.3706,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_INDC,173.3541,211.2348,217.8588,228.9673,243.2423,256.6135,218.2109,206.6322,193.6181,182.3959,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_NoPolicy,172.3947,209.1023,241.8386,269.5516,287.9643,299.4703,290.7659,287.2289,290.6649,273.7109,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_Reference,173.3541,211.2348,245.792,275.6947,297.0334,313.2236,309.1306,295.4183,286.5671,265.555,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_BCOC-EndU,166.7717,202.5408,235.6666,261.2112,275.2284,287.5654,298.7191,301.7325,295.9656,282.1875,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Baseline,166.794,202.3622,234.8985,260.7959,275.0638,287.5844,298.7735,301.7702,296.07,281.2579,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_CH4-Only,166.7951,202.086,232.8138,258.217,272.1,284.4968,295.3155,298.2113,292.6585,278.9782,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy,166.4892,198.5679,194.9147,210.5628,220.1773,204.6186,186.1113,168.3694,144.7021,106.0944,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy+SLCF,166.4658,198.4911,189.4188,206.5963,217.852,204.3168,185.2314,167.6745,144.2199,105.6565,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_BCOC-Red,166.794,202.3622,234.8985,260.7959,275.0638,287.5844,298.7735,301.7702,296.07,281.2579,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_CH4-ClimPolicy,166.7942,202.0218,232.1655,256.8031,268.8369,274.127,264.9237,269.9102,269.8352,262.8811,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_CO2-Only,166.5669,198.8678,203.9876,206.9294,193.8267,151.9586,96.0499,100.9893,105.3516,97.8468,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-CH4,166.794,202.3622,234.8985,260.7959,275.0638,287.5844,298.7735,301.7702,296.07,281.2579,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-EF,166.794,202.3622,234.8985,260.7959,275.0638,287.5844,298.7735,301.7702,296.07,281.2579,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-EF-EndU,166.794,202.3622,234.8985,260.7959,275.0638,287.5844,298.7735,301.7702,296.07,281.2579,failed-vetting,failed-vetting
