Model,Scenario,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category,Category_name
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,181.3811,218.0203,168.94,101.4836,72.5282,68.7173,69.8175,66.3573,60.2251,88.8663,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2020_Med2C,181.3811,218.0096,184.5047,201.3506,222.4645,219.4872,216.2247,219.7723,218.9507,208.7133,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2020_WB2C,181.3811,218.0096,184.393,151.8151,165.6317,138.6476,122.7711,138.3339,143.0062,126.0566,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_Med2C,181.3798,216.787,222.1313,170.4769,186.32,193.459,192.6185,205.2675,208.0191,194.5638,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,181.9321,220.0051,221.48,102.3257,69.608,76.3989,78.4351,76.9928,70.9056,100.775,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_WB2C,181.3798,216.787,222.1313,170.016,102.4466,74.1017,49.7157,72.3074,82.4729,66.7907,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_INDC,181.9321,219.8056,222.2482,224.7294,233.75,240.6582,206.5539,188.6728,170.6237,154.0419,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_NoPolicy,181.3742,221.6462,256.9997,285.5021,303.0131,312.0916,300.3036,293.2048,292.7654,269.0742,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_Reference,181.9321,219.8056,255.7967,285.3695,305.1772,318.9072,312.16,295.0191,281.8701,254.5995,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_BCOC-EndU,162.1893,194.3734,223.7526,246.1596,256.729,265.6549,273.0849,271.5182,260.5453,241.0404,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Baseline,162.2115,194.1936,222.9779,245.7434,256.5705,265.6867,273.1515,271.5635,260.6619,239.8741,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_CH4-Only,162.2138,193.8718,220.7102,242.9368,253.3212,262.2675,269.3036,267.596,256.869,237.469,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy,162.3727,193.9402,192.9553,205.9332,212.3478,190.4268,164.0874,139.364,108.3677,64.0585,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy+SLCF,175.8881,207.838,192.9588,208.526,217.2668,197.0601,169.6029,144.6579,113.4573,68.52199999999999,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_BCOC-Red,162.2115,194.1936,222.9779,245.7434,256.5705,265.6867,273.1515,271.5635,260.6619,239.8741,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_CH4-ClimPolicy,162.2128,193.8,220.0072,241.3765,249.6545,250.388,233.6733,234.2588,229.8457,218.2976,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_CO2-Only,162.2286,194.2488,202.6236,202.0808,182.9498,129.7902,60.0492,62.3993,65.2238,55.8168,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-CH4,162.2115,194.1936,222.9779,245.7434,256.5705,265.6867,273.1515,271.5635,260.6619,239.8741,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-EF,162.2115,194.1936,222.9779,245.7434,256.5705,265.6867,273.1515,271.5635,260.6619,239.8741,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-EF-EndU,162.2115,194.1936,222.9779,245.7434,256.5705,265.6867,273.1515,271.5635,260.6619,239.8741,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-EF-SLCF,162.2115,194.1936,222.9779,245.7434,256.5705,265.6867,273.1515,271.5635,260.6619,239.8741,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_SLCF,162.1912,194.0509,221.4551,243.3428,253.4722,262.2335,269.2667,267.5976,256.8831,237.4757,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-Action,162.3727,193.833,209.61,222.1808,224.1701,211.9689,199.2089,181.1376,163.5599,147.279,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-Action+SLCF,162.3533,193.6025,209.6448,222.3383,223.5692,207.5383,193.541,173.253,153.6698,132.9954,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-to-faster,162.3727,193.833,209.5411,180.8882,176.8947,171.7445,151.4827,126.1439,93.56,57.1387,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-to-faster+SLCF,162.2046,193.9865,210.2266,182.6983,134.0437,60.8115,64.5502,67.5155,68.6357,55.8405,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-to-faster+SLCF+HFC,162.2046,193.9865,210.2285,182.6817,134.1069,60.9234,64.5546,67.5221,68.6417,55.8456,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Bio_1p5Degree,175.8855,206.9736,153.3076,122.443,121.0075,100.3915,81.523,76.9537,78.5758,81.6274,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Bio_2Degree,175.8855,206.9736,213.4132,195.5298,200.6121,197.7397,176.0413,163.4903,154.8646,152.6465,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Bio_Baseline,175.9475,210.8158,242.0225,265.9832,277.2662,286.4927,293.938,292.8683,284.2223,268.6882,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_EEEI_1p5Degree,172.5435,195.8627,145.134,113.3343,94.2559,67.6819,40.5061,35.9398,33.6513,30.3387,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_EEEI_2Degree,172.5435,195.8627,199.2939,177.0803,173.2317,165.0829,133.6191,119.0337,106.1503,98.0106,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_EEEI_Baseline,172.6049,198.8364,220.1022,234.185,238.9722,238.3225,239.2378,236.3464,228.7533,217.1701,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_1p5Degree,172.9105,196.4951,147.952,118.1184,108.3733,85.4227,64.2674,60.0024,60.6873,62.0751,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_2Degree,172.9105,196.4951,200.3505,180.9778,180.8629,176.842,152.1739,139.9025,130.9687,125.7695,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_Baseline,172.9728,199.53,221.2505,236.31,241.4525,243.6395,245.8268,243.8685,237.1253,227.7377,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Ref_1p5Degree,175.8915,207.0102,153.5332,122.4685,110.9945,87.3201,64.3259,60.6884,61.1339,62.3177,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Ref_2Degree,175.8915,207.0102,213.6238,196.7267,198.6031,192.1148,163.6005,151.0231,141.6207,137.7021,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Ref_Baseline,175.9535,210.8336,242.0493,266.0416,277.4963,287.0186,294.8477,294.1966,285.5355,269.8929,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_1p5Degree,175.8915,207.0102,154.9877,124.853,121.9872,96.3237,73.8652,70.0508,71.4576,73.9919,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_2Degree,175.8915,207.0102,214.967,200.7701,204.3083,198.2834,171.4421,158.9202,150.4851,147.6737,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_Baseline,175.9535,210.8336,242.0493,266.0416,277.4963,287.0186,294.8477,294.1966,285.5355,269.8929,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_bio_1p5Degree,175.8848,206.9797,153.5227,122.4088,115.7109,93.5269,71.0699,67.5438,68.85600000000001,71.1468,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_bio_2Degree,175.8848,206.9797,213.504,196.1453,199.5687,194.7043,169.9121,157.1833,148.5468,145.5615,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_bio_Baseline,175.9468,210.8091,242.0005,265.9343,277.2157,286.4856,293.9638,292.9548,284.2876,268.7502,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_1p5Degree,175.7629,206.5663,153.1127,121.8909,109.5773,84.9167,60.4562,56.7001,56.3766,55.8526,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_2Degree,175.7629,206.5663,212.5697,195.6585,197.0874,189.7364,160.6425,147.0577,136.3888,130.2691,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_Baseline,175.8257,210.4699,241.4206,265.1405,276.2351,285.2013,292.2596,290.7061,281.633,267.9256,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_solar_1p5Degree,175.8908,206.996,153.6491,122.0666,107.3361,82.8241,57.8942,54.5566,55.0293,55.9469,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_solar_2Degree,175.8908,206.996,213.5331,195.3591,196.4337,189.7523,160.1176,146.58,136.7193,132.5298,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_solar_Baseline,175.9529,210.8244,242.0041,265.8843,277.0668,286.468,294.1183,293.2983,284.5923,269.0559,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_wind_1p5Degree,175.8861,206.948,153.5165,121.4524,105.1435,80.1997,56.2631,52.8365,52.7447,53.0769,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_wind_2Degree,175.8861,206.948,213.3259,194.666,195.0248,187.8368,158.6599,145.8263,137.1092,133.2291,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_wind_Baseline,175.9481,210.7931,241.9014,265.6195,276.7407,286.0543,293.5687,292.5438,283.7965,271.6601,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_SupTech_1p5Degree,175.75,206.4577,154.6212,123.1607,116.7109,89.1562,66.785,62.6277,62.566,62.6517,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_SupTech_2Degree,175.75,206.4577,213.9786,198.5767,200.7537,193.3307,167.7747,153.7412,143.1863,137.8309,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_SupTech_Baseline,175.8127,210.3948,241.1772,264.4526,274.786,283.1147,289.3033,286.8981,278.2149,264.2098,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_combined_1p5Degree,169.3914,184.7835,139.5551,108.1179,97.612,72.0312,48.6749,42.1502,38.2327,33.7111,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_combined_2Degree,169.3914,184.7835,184.6242,162.5568,156.4626,150.1464,125.8703,110.7746,97.4315,86.8518,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_combined_Baseline,169.4539,187.2747,199.2639,204.6979,202.5778,196.2853,189.6842,182.2902,171.9645,159.4219,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP1-19,168.7596,181.9604,146.9887,112.1937,83.693,50.1874,36.2872,27.3622,24.658,20.3727,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP1-26,168.7875,181.9613,184.7484,161.0702,146.474,126.7169,98.0479,85.8676,72.8002,66.6927,C3,C3: limit warming to 2°C (>67%)
AIM/CGE 2.0,SSP1-34,168.7875,181.9613,191.8617,189.8271,175.0491,154.384,135.3125,120.387,107.9051,98.2168,C5,C5: limit warming to 2.5°C (>50%)
AIM/CGE 2.0,SSP1-45,168.7875,179.6149,194.4262,197.8486,187.7308,174.6687,159.4053,144.7008,130.2863,116.7338,C6,C6: limit warming to 3°C (>50%)
AIM/CGE 2.0,SSP1-Baseline,168.9374,184.3309,197.6536,201.1348,191.945,180.6882,169.302,157.816,146.9377,134.9646,C7,C7: limit warming to 4°C (>50%)
AIM/CGE 2.0,SSP2-19,175.9349,208.3334,160.2212,123.748,116.2087,83.2561,71.3494,63.8198,59.7844,58.6834,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP2-26,176.0783,208.2734,208.4457,193.1419,192.7708,184.0381,149.9251,133.6181,119.343,112.3857,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP2-34,176.0783,208.2734,229.906,236.847,235.4382,226.7644,221.7593,211.754,200.2414,187.2551,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP2-45,176.0783,208.2734,237.8844,260.2774,263.6592,252.1655,242.6597,233.1582,224.6241,215.3661,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP2-60,176.0783,208.2734,239.1319,263.4469,272.9378,277.7802,281.4761,277.1648,266.9699,258.6552,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP2-Baseline,176.3004,212.391,244.9913,270.303,282.9735,293.4749,302.1352,301.645,291.8912,273.2074,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP3-34,176.2127,213.4801,229.8295,216.1777,206.228,188.6937,159.3578,132.9205,109.1898,91.0745,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP3-45,176.2127,213.4801,237.4898,241.118,232.283,206.6712,196.8475,181.6484,163.7734,142.5229,failed-vetting,failed-vetting
