Model,Scenario,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category,Category_name
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,55.8857,65.9524,38.4831,14.8848,6.9871,6.2235,6.5331,6.1262,5.3428,9.4469,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2020_Med2C,55.8857,65.9476,44.8264,48.2571,54.7425,52.9156,54.0793,61.1521,63.3893,57.7964,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2020_WB2C,55.8857,65.9476,44.7578,29.6096,29.3491,20.4091,16.5645,20.4069,22.3342,17.8244,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_Med2C,55.8859,65.8958,68.3198,37.6669,39.9768,40.5033,41.3722,50.4058,54.9802,47.097,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,55.4555,64.6647,67.8555,16.2616,7.5415,7.0756,7.5239,7.3158,6.3813,10.9542,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_WB2C,55.8859,65.8958,68.3198,37.5123,14.6765,6.9633,3.8349,6.5904,7.8999,5.6734,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_INDC,55.4555,64.5493,66.9206,66.414,67.5678,69.6623,69.082,64.757,59.603,55.2632,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_NoPolicy,55.8892,66.9563,77.2865,83.9403,87.7347,93.2911,96.1548,99.4827,104.0422,106.3139,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_Reference,55.4555,64.5493,73.6313,80.9707,86.0928,92.752,96.7505,98.0617,100.0735,103.2675,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_BCOC-EndU,55.857,66.0205,75.2342,80.7145,84.2198,91.0085,96.2905,99.2247,100.2449,102.4218,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Baseline,55.8803,65.8983,74.8063,80.4902,84.1074,90.9586,96.2881,99.2384,100.2762,102.4553,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_CH4-Only,55.8705,65.781,74.1655,79.9432,83.535,90.457,95.9461,98.8216,99.8965,101.9423,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy,55.8733,62.5801,49.9783,51.4416,51.1218,41.1918,31.6032,24.1925,16.3006,7.5425,failed-vetting,failed-vetting
