Model,Scenario,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category,Category_name
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,154.6273,187.8613,148.5372,109.9928,95.5022,99.3642,102.9986,99.8524,94.185,117.9225,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2020_Med2C,154.6273,187.8502,160.6331,183.1994,205.8991,208.6409,209.9328,217.5447,218.9014,210.2042,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2020_WB2C,154.6273,187.8502,160.5064,145.6315,158.9158,141.5999,133.0085,145.5175,149.5427,135.6041,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_Med2C,154.6262,186.7571,194.4781,159.6622,178.5056,185.8901,189.551,203.8297,208.1769,196.4227,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,154.991,189.3504,193.7583,112.1681,95.3787,99.6009,101.8483,100.6395,96.2103,115.5329,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_WB2C,154.6262,186.7571,194.4781,159.2731,117.7179,97.7995,82.124,97.4415,103.648,91.7325,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_INDC,154.991,189.1643,194.3295,201.6449,214.2498,225.8001,188.4363,174.1482,158.5592,145.4862,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_NoPolicy,154.6214,191.0354,223.2591,249.0767,266.0662,276.1403,269.4322,265.8552,267.0708,252.0544,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_Reference,154.991,189.1643,223.6075,251.9683,272.3008,286.7496,283.8318,272.6687,264.4314,246.795,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_BCOC-EndU,138.5788,166.0244,190.7687,208.7125,216.6693,222.643,226.444,222.7088,211.7943,195.7439,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Baseline,138.5989,165.8793,190.1564,208.4086,216.5863,222.7258,226.5649,222.8147,211.9446,194.9141,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_CH4-Only,138.5994,165.8915,189.3736,207.6842,215.7787,222.0293,225.8066,222.1577,211.586,195.7163,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy,138.747,165.9551,165.1304,179.1305,186.9452,169.79,148.9578,129.5975,106.9543,75.3792,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy+SLCF,152.2645,179.831,166.0849,182.2473,191.9584,176.3219,154.473,135.0004,112.1619,79.8336,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_BCOC-Red,138.5989,165.8793,190.1564,208.4086,216.5863,222.7258,226.5649,222.8147,211.9446,194.9141,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_CH4-ClimPolicy,138.5985,165.825,188.6452,206.1292,212.3098,211.237,194.6287,192.9217,187.5488,176.6864,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_CO2-Only,138.6083,166.2332,173.6119,176.3437,162.6464,120.23,72.5156,74.6343,75.9937,68.6155,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-CH4,138.5989,165.8793,190.1564,208.4086,216.5863,222.7258,226.5649,222.8147,211.9446,194.9141,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-EF,138.5989,165.8793,190.1564,208.4086,216.5863,222.7258,226.5649,222.8147,211.9446,194.9141,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-EF-EndU,138.5989,165.8793,190.1564,208.4086,216.5863,222.7258,226.5649,222.8147,211.9446,194.9141,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-EF-SLCF,138.5989,165.8793,190.1564,208.4086,216.5863,222.7258,226.5649,222.8147,211.9446,194.9141,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_SLCF,138.579,166.0364,189.9584,207.972,215.8421,221.9226,225.6767,222.0477,211.4879,195.6152,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-Action,138.747,166.0702,181.1148,193.3883,197.9284,190.4247,181.6453,166.8254,151.7836,139.2251,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-Action+SLCF,138.7296,165.8645,181.0964,193.4022,197.3312,187.086,177.8304,161.0639,144.8478,128.848,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-to-faster,138.747,166.0702,181.0608,159.5704,159.3321,155.3545,138.8296,119.8596,96.7263,70.1541,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-to-faster+SLCF,138.5865,166.1936,181.6008,160.6333,127.6843,75.055,76.117,78.35,78.3831,68.5534,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-to-faster+SLCF+HFC,138.5865,166.1936,181.6023,160.638,127.7541,75.1494,76.1234,78.3585,78.3918,68.558,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Bio_1p5Degree,152.3535,178.6977,135.239,118.8905,117.3322,104.1868,92.358,89.9439,91.5067,93.2405,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Bio_2Degree,152.3535,178.6977,185.0915,173.9974,180.8421,180.1255,163.7264,154.2843,147.9324,146.5802,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Bio_Baseline,152.3631,182.9016,209.8429,229.8163,239.0743,246.0586,250.7675,248.1951,239.9308,227.1025,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_EEEI_1p5Degree,149.6034,170.1362,128.5108,109.5992,96.1857,77.9945,60.6687,57.9168,56.5498,54.4926,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_EEEI_2Degree,149.6034,170.1362,174.3693,159.2556,158.3059,152.2011,127.5373,116.742,107.2439,101.4066,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_EEEI_Baseline,149.6131,173.2599,192.3705,204.717,208.9892,208.6978,209.1753,206.1394,199.3594,189.8169,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_1p5Degree,149.6307,169.2182,129.4776,111.2079,101.7461,85.6299,71.8547,68.1054,67.4713,67.1474,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_2Degree,149.6307,169.2182,172.9411,159.8889,161.0208,157.1822,136.1787,125.3384,117.0468,111.808,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_Baseline,149.6408,172.4403,190.3515,201.6805,204.4324,204.4025,203.4524,198.5299,190.2287,179.7682,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Ref_1p5Degree,152.3601,178.7294,135.5358,118.1284,109.3234,93.8265,79.6415,77.783,78.531,79.3635,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Ref_2Degree,152.3601,178.7294,185.427,175.0954,178.8191,174.5482,152.1016,142.7805,135.6816,132.8625,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Ref_Baseline,152.3697,182.9196,209.8779,229.89,239.2627,246.436,251.3818,249.0319,240.745,227.8373,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_1p5Degree,152.3601,178.7294,136.346,119.3129,114.5566,99.6679,85.9293,84.0328,85.3588,87.1235,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_2Degree,152.3601,178.7294,186.4719,177.75,182.1073,178.3335,157.2816,147.9284,141.5898,139.5379,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_Baseline,152.3697,182.9196,209.8779,229.89,239.2627,246.436,251.3818,249.0319,240.745,227.8373,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_bio_1p5Degree,152.3545,178.7075,135.5649,119.0132,113.8165,99.6841,85.1775,83.6751,84.9423,86.0245,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_bio_2Degree,152.3545,178.7075,185.3328,174.7117,180.2022,177.7918,158.8241,149.4015,143.1469,141.0727,failed-vetting,failed-vetting
