Model,Scenario,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category,Category_name
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,111.2333,135.579,103.0967,51.8305,47.5205,61.0873,66.5712,68.1167,66.178,96.8173,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2020_Med2C,111.2333,135.5757,113.5026,120.6114,129.77,131.2145,139.124,150.0518,156.2905,157.2378,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2020_WB2C,111.2333,135.5757,113.3823,88.2723,107.9774,107.5353,107.5729,122.0592,131.2214,127.6983,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_Med2C,111.2335,136.1142,149.5639,95.2041,105.6715,124.2595,131.6174,144.8024,152.9713,151.4337,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,110.4804,134.2439,149.142,50.3566,41.2949,70.3805,79.1964,84.0449,82.6517,116.1054,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_WB2C,111.2335,136.1142,149.5639,94.9168,55.7467,64.8878,48.0578,74.3062,87.9153,76.4857,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_INDC,110.4804,134.1788,148.6626,151.3688,155.4284,160.2436,156.7539,159.2175,160.0236,158.2053,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_NoPolicy,111.2317,137.7145,164.4838,185.8108,201.1363,216.7118,227.072,240.8636,259.3558,273.8045,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_Reference,110.4804,134.1788,151.4298,164.5737,173.4947,186.4906,196.5832,202.7887,211.6805,224.8992,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_BCOC-EndU,106.0964,128.646,151.3998,168.9409,182.7408,200.9537,216.8743,228.5478,235.0181,244.7868,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Baseline,106.1351,128.4078,150.5182,168.4245,182.4276,200.7503,216.7627,228.4537,234.9594,244.8131,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_CH4-Only,106.1395,127.6312,147.0178,163.9286,177.3389,195.5272,211.8316,223.1472,229.1238,238.1616,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy,106.2211,124.7619,111.2947,113.6331,115.122,112.0683,111.5182,110.2308,102.044,74.8057,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy+SLCF,106.1828,124.7818,107.4122,111.2923,114.0548,112.4414,111.6085,110.2236,102.1132,74.6505,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_BCOC-Red,106.1351,128.4078,150.5182,168.4245,182.4276,200.7503,216.7627,228.4537,234.9594,244.8131,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_CH4-ClimPolicy,106.1399,127.653,147.274,164.3943,178.1935,198.0353,218.2756,228.925,233.9681,238.6376,failed-vetting,failed-vetting
