Model,Scenario,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category,Category_name
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,57.4045,67.9259,40.3499,15.9002,7.9032,7.4516,7.8788,7.5146,6.7163,11.5698,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2020_Med2C,57.4045,67.9215,46.869,50.4893,57.1703,55.4358,56.7985,64.1166,66.5414,61.0251,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2020_WB2C,57.4045,67.9215,46.799,31.3343,31.5208,22.6415,18.8289,23.0237,25.2033,20.6414,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_Med2C,57.4047,67.8814,70.5199,39.4492,42.0032,42.9671,44.0153,53.3326,58.1244,50.2807,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,56.953,66.6077,70.0424,17.2226,8.3405,8.5266,9.1802,9.1017,8.171,13.5108,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_WB2C,57.4047,67.8814,70.5199,39.2902,15.792,8.3094,4.8283,8.1557,9.784,7.3231,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_INDC,56.953,66.494,69.1051,68.6978,69.9835,72.2188,71.29899999999998,67.0781,62.0313,57.6736,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_NoPolicy,57.408,68.9451,79.7577,86.8421,90.9828,96.8757,100.0449,103.8003,108.8817,111.3976,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_Reference,56.953,66.494,75.8542,83.4427,88.7671,95.723,100.0773,101.7228,104.0347,107.3213,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_BCOC-EndU,57.0088,67.5151,77.0488,82.9145,86.764,93.8429,99.4541,102.7056,103.9907,106.3035,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Baseline,57.033,67.388,76.6004,82.6776,86.64399999999998,93.7879,99.4476,102.715,104.0221,106.3412,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_CH4-Only,57.0238,67.2556,75.8564,82.0002,85.9239,93.1369,98.9471,102.1279,103.4433,105.6307,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy,57.0275,64.0674,51.4958,53.04600000000001,52.8532,42.9974,33.4833,26.1236,18.1233,8.7931,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy+SLCF,57.0038,63.9225,48.8971,50.9953,51.1603,42.6273,32.9371,25.7002,17.89700000000001,8.7159,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_BCOC-Red,57.033,67.388,76.6004,82.6776,86.64399999999998,93.7879,99.4476,102.715,104.0221,106.3412,failed-vetting,failed-vetting
