Model,Scenario,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category,Category_name
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,0.0,0.0,1195.2495,4587.6206,10298.3091,16052.0581,18825.3095,19233.7862,18529.965,23571.8343,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2020_Med2C,0.0,0.0,1084.1579,6512.9017,13708.9413,17683.2843,20072.6546,21326.651,22946.3242,25830.6977,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2020_WB2C,0.0,0.0,954.9681,5165.0023,13317.3272,17205.5582,18166.9835,20644.5232,22514.7972,22347.4532,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_Med2C,0.0,0.0,435.7146,2655.6154,9105.7145,18090.83,20417.3838,22493.1118,24454.5151,26034.3039,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,0.0,0.0,414.0179,2567.5698,7455.9912,13844.5656,15388.4201,16049.5158,16081.6118,20086.3555,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_WB2C,0.0,0.0,435.7146,2530.0191,6835.1837,12382.319,11965.1626,14812.6926,16432.9599,15195.933,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_INDC,0.0,0.0,419.0064,1802.455,4190.1918,6058.9617,6222.6154,8471.1355,10956.1479,12311.1323,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy,0.0,0.0,1159.8731,6338.9111,13181.3528,16255.3792,17383.1418,17507.7583,16224.2916,11815.2609,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy+SLCF,0.0,0.0,1193.5041,6420.7994,13639.684,16421.2807,17470.4495,17551.9017,16251.7427,11792.9441,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_CO2-Only,0.0,0.0,476.6766,4815.5407,10344.3305,13961.9177,9292.7,10255.1956,11237.3243,10464.3043,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-Action,0.0,0.0,596.7305,1894.7261,3912.9518,5024.2177,6572.3873,8804.7464,11239.5579,12563.2296,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-Action+SLCF,0.0,0.0,633.991,1912.0473,3928.2507,5026.9302,6894.6593,9142.1431,11382.6122,11737.3559,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-to-faster,0.0,0.0,578.4609,2462.8119,7659.4911,13670.8143,16645.3717,16382.6252,14515.9008,10705.3858,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-to-faster+SLCF,0.0,0.0,558.5173,2404.1752,6326.1613,7502.7925,9692.4351,10738.7862,11530.2159,10330.1188,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-to-faster+SLCF+HFC,0.0,0.0,575.8607,2458.8142,6402.3071,7587.5583,9692.8728,10740.4172,11532.0378,10331.9884,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP1-19,0.0,0.0,471.3616,3097.8431,6315.8795,5725.8098,5623.4437,5305.1309,5405.1347,5253.5049,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP1-26,0.0,0.0,0.0,1336.2654,4553.8003,7639.6964,8715.8678,9110.8833,9117.6701,9219.4939,C3,C3: limit warming to 2°C (>67%)
AIM/CGE 2.0,SSP1-34,0.0,0.0,0.0,0.0,0.0,368.9161,2495.4861,4086.5835,5525.6711,6312.408,C5,C5: limit warming to 2.5°C (>50%)
AIM/CGE 2.0,SSP1-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.1098,C6,C6: limit warming to 3°C (>50%)
AIM/CGE 2.0,SSP2-19,0.0,0.0,1999.2699,5900.0074,14644.779,14198.6068,15403.6166,15984.1859,16699.0873,17693.129,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP2-26,0.0,0.0,1648.83,6617.7629,15156.0442,18482.1663,19702.7856,20608.1737,21272.321,22286.8707,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP2-34,0.0,0.0,404.4838,3314.264,7996.7186,14266.9588,18548.4746,21405.4607,22750.365,24146.9455,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP2-45,0.0,0.0,0.0,0.0,0.0,706.2021,5334.4205,12133.869,16782.5482,20409.2218,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP3-34,0.0,0.0,0.0,3089.6363,10527.0174,16985.1826,18000.5321,18404.6185,18565.5122,18560.994,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP3-45,0.0,0.0,0.0,554.3818,4720.1876,12478.4437,17682.1577,19369.5497,20567.9552,21130.2342,failed-vetting,failed-vetting
