Model,Scenario,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category,Category_name
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,,57470.89229135665,26290.42412953147,9066.273494632838,2665.5647623571667,-1886.532544444908,-3920.303817845792,-4371.943773612429,-5775.986184328287,-3741.74213657269,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2020_Med2C,,57422.37498583359,30867.22290191544,27886.40118547173,25171.10554908927,17811.63123757582,19949.59190508023,20794.96279225262,18430.726582319083,15800.9916689506,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2020_WB2C,,57493.56928415309,29982.09365253724,17873.00259527883,13228.77574145177,5883.709647006723,6106.135663567432,7334.968279825231,5229.9480405668255,3688.707679938309,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_Med2C,,57642.22477496074,55522.23738355881,25177.53725550648,21841.36542077882,17150.133350582462,19728.09494909564,21677.2865456441,19497.10807317876,17777.7684517299,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,,57749.99944163053,55275.55995178117,15197.4704384975,6297.39770337764,2340.092481562939,1303.76110735134,2153.81948272298,1892.60052439414,4698.768180517999,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_WB2C,,57661.8230313542,55504.02212204141,25075.3625502805,9671.04881781984,2586.11904529354,859.23638302844,4012.93660403968,3284.23696337054,2925.5282680100004,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_INDC,,57978.55659086002,56148.15727356447,52318.10708293423,47025.61562745802,42080.284457850896,36075.23511876464,32229.7178743072,29066.80603373644,26414.48462016134,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_NoPolicy,,59463.55288862552,67138.87196831519,73239.54912618079,77275.36958303554,81397.38813058803,88129.9426206091,94149.64663100251,96865.92991955664,99541.6683732724,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_Reference,,57835.49491448276,63436.82213163348,67623.13506211444,69685.92729270637,72099.63699213862,75284.9155210885,81598.16568245032,85260.33919425418,86816.69601303438,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_BCOC-EndU,,59797.37762912071,67233.93147586791,73703.22754663027,78117.49047989724,81316.60136876334,84169.98931176009,86911.76173520392,90716.49325688391,94107.19673254328,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Baseline,,59801.18498089071,67210.11773753789,73668.91771618027,78066.30168302724,81270.45573669333,84114.3224634201,86848.98246860392,90649.77298738393,94132.49016044328,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_CH4-Only,,57358.97196800602,59746.20296055766,64172.57927832852,67231.43592502028,69880.22234902742,72067.78604853636,74132.4957672795,77428.73638119565,80242.25881377896,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy,,55457.40717861351,31686.9884230454,27259.78733277761,20049.37300865557,13720.250805195312,9682.827841697504,6810.524226942192,3925.315128046677,444.5172993853863,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy+SLCF,,54043.096811510426,30804.5586838087,26670.325887499344,19862.591967585915,13788.150528635364,9886.998776117469,7100.18365027414,4250.564482745236,788.8379316783783,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_BCOC-Red,,59801.18498089071,67210.11773753789,73668.91771618027,78066.30168302724,81270.45573669333,84114.3224634201,86848.98246860392,90649.77298738393,94132.49016044328,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_CH4-ClimPolicy,,58223.08523533358,59310.02259085836,63137.077892771646,65594.05007517367,67218.50095749895,67231.85364752641,69095.36121246622,72452.02086474607,74849.87754383041,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_CO2-Only,,57227.19903866568,43843.31762554664,35859.86701061474,27059.993606112403,19297.876375138338,12486.79432353886,14047.13833593294,15561.08976868046,16587.44736363354,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-CH4,,60016.85347075071,67666.7088765579,74362.86864925026,78993.65324669724,82456.47055791333,85554.6313184901,88533.48123860393,92538.90709738393,96225.44772044326,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-EF,,60016.85347075071,67666.7088765579,74362.86864925026,78993.65324669724,82456.47045791334,85554.6313184901,88533.48123860393,92538.90709738393,96225.44782044328,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-EF-EndU,,59801.18498089071,67210.11773753789,73668.91771618027,78066.30168302724,81270.45573669333,84114.3224634201,86848.98246860392,90649.77298738393,94132.49026044329,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-EF-SLCF,,60016.85347075071,67666.7088765579,74362.86864925026,78993.65324669724,82456.47055791333,85554.6313184901,88533.48123860393,92538.90709738393,96225.44772044326,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_SLCF,,57338.94973033102,59730.010065349656,64149.88399381676,67214.45090454671,69828.23714313815,72001.74057164676,74053.17812538467,77374.46004917084,80234.23484115368,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-Action,,55805.22320835612,53391.73574139773,49204.05121064819,43507.152238284056,38092.43617901866,33391.431722681424,28434.697949841066,24571.44369452064,21627.196471814103,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-Action+SLCF,,54381.430180062205,50534.749739898434,46402.30470051548,40773.4031639504,35478.1998430755,30937.34488803288,26133.17463728454,22345.4043087121,19506.83267697558,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-to-faster,,55805.22320835612,53392.5897420946,23771.151512045628,16185.590515514095,10948.19756116356,7597.22852109629,5064.830350703639,2346.149744343678,-143.7009304154787,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-to-faster+SLCF,,54567.73707273766,49885.59764434416,24228.76499102778,9259.699478518836,-2035.0239635935063,-1592.0352598758027,-1168.1104860857645,-287.0066507559521,292.2741814593328,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-to-faster+SLCF+HFC,,54399.46571410143,48757.16611201083,24497.672536570542,9558.575828309016,-1713.6514204094062,-1288.8330720516624,-849.4400624731654,40.880980347008006,630.7750057386124,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Bio_1p5Degree,,53791.33753182224,27563.3825901582,20109.08731607426,14663.90160198306,13031.132711757207,12243.70580970609,13161.44407932096,14002.16830297834,15172.259861965147,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Bio_2Degree,,53793.74626618484,41474.24352820599,32492.683589309047,28335.1955641066,25112.69993079154,22352.33371611936,21436.79690577225,21128.82634645942,21760.16788026691,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Bio_Baseline,,59290.31463601385,67274.10116812984,74206.87993557018,79720.85242398374,84027.57831009084,88161.0669471655,92068.58719395212,96008.54445440014,99525.3590093458,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_EEEI_1p5Degree,,53796.10720718404,26924.00662106629,18025.10267204246,12251.264593643282,9768.722428190418,8106.02513230607,8370.4637969803,8472.09825207137,8890.73595333027,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_EEEI_2Degree,,53802.37253271466,41191.28294893546,30697.70454570108,25923.526776291088,21681.37487693797,18184.7419101948,16730.62612329933,15921.29036290743,15905.54811122294,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_EEEI_Baseline,,58002.04394350265,63207.83683635115,67173.89344378446,69812.1190212365,72530.29020278667,73753.30870841202,74757.98474960797,75931.56998849071,77123.290300989,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_1p5Degree,,53759.43238811392,27098.01159586627,18510.34817627309,12768.213123293042,10639.833823136412,9557.05390718354,10234.57761469412,10770.42682533525,11637.40973563116,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_2Degree,,53765.69771364454,41228.820399045966,31166.21071084496,26511.60843205454,22499.299188067784,19262.24067155716,18015.952612135712,17348.09028364772,17570.40965716628,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_Baseline,,58447.72349185385,64850.23892469984,70189.17754608019,74106.47149782375,77208.56787588085,79599.7304374255,81758.98543125213,84220.34490680014,86412.9339761458,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Ref_1p5Degree,,53791.66105471489,27388.1668104143,19020.672467644272,13422.319651031814,11418.91105069444,10372.87956218748,11142.87179788726,11748.92885329017,12702.860702876062,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Ref_2Degree,,53794.06978907749,41406.4706007595,31504.965314784346,27074.227172180174,23696.08614118433,20552.96642483578,19541.17426523988,19139.386011360428,19557.22987473471,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Ref_Baseline,,59266.47012413385,67228.71575163984,74089.00506526018,79435.29698612374,83567.62248951083,87489.1613247755,91248.16659805214,95113.98252920012,98540.6373513458,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_1p5Degree,,53791.66105471489,27424.870207530093,19390.27572728973,13950.18305563852,12421.546726681065,11423.66644175856,12285.063391443,13039.27120994546,14173.72121266885,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_2Degree,,53794.06978907749,41416.77703066471,31795.77827792805,27614.923005221943,24774.21372133396,21614.42183234574,20618.84467154156,20319.38473904939,20860.51433119251,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_Baseline,,59266.47012413385,67228.71575163984,74089.00506526018,79435.29698612374,83567.62248951083,87489.1613247755,91248.16659805214,95113.98252920012,98540.6373513458,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_bio_1p5Degree,,53791.25153345997,27482.42406818343,19580.277816216967,14046.533317816033,12212.963471588357,11197.77758162984,12092.72360392636,12819.29825168082,13899.00526538253,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_bio_2Degree,,53793.660267822575,41453.94211911519,32036.878992479,27736.710024104952,24435.101478119777,21537.039589631928,20556.20161936532,20252.995587493,20772.81309460834,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_bio_Baseline,,59287.02696135385,67249.25832974983,74139.48779983018,79579.04631297375,83832.19199489083,87892.2129907255,91748.70265925214,95654.85252300015,99129.1050311458,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_1p5Degree,,53788.097927822186,27403.25086136785,19014.55575492064,13344.616106260097,11262.104445059476,10070.24961414779,10743.21465704753,11209.89311995884,11962.72434713663,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_2Degree,,53790.50666218479,41415.88733816846,31586.75658983904,27037.40091022328,23571.158789406047,20370.404669916028,19228.98000726416,18690.19240713113,18910.31828797339,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_Baseline,,59351.43667111223,67500.44554996955,74434.75263182998,79681.28059851457,83772.21864856519,87578.81615029264,91131.97941282678,94603.53261409802,97421.79624252013,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_solar_1p5Degree,,53791.878661880415,27357.25492148248,18818.2780697584,13100.93412776101,11033.406741259714,9799.324650878549,10500.08242261,11075.86773773808,11991.20461979233,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_solar_2Degree,,53794.28739624302,41404.28088969277,31526.793800314623,26998.984220621594,23429.63051774245,20208.90880763091,19048.94261577934,18574.71467976252,18992.05112635,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_solar_Baseline,,59262.05994061385,67200.38993151984,73999.81646693018,79219.10593839374,83288.92821806084,87163.57466587551,90867.94209375214,94689.20131070014,98069.1822690458,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_wind_1p5Degree,,53792.20492614679,27328.5411734548,18705.68950461191,12955.57654416613,10839.619226464692,9621.13786575521,10273.46484224162,10773.33129001712,11644.6771467347,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_wind_2Degree,,53794.61366050939,41401.11615393324,31423.754914975456,26845.20825625932,23324.25097546217,20166.53148156493,19098.9692341656,18702.55235864543,19142.2648482106,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_wind_Baseline,,59253.56260102385,67159.25670817983,73903.57851275017,79112.45484834374,83167.38890438084,87013.4334258055,90679.58459975214,94465.64009940012,97793.7096247458,failed-vetting,failed-vetting
