"Model","Scenario","class","type"
"AIM/CGE 2.0","ADVANCE_2020_1.5C-2100","1p5","1p5-lowOS"
"AIM/CGE 2.0","SSP1-19","1p5","1p5-lowOS"
"AIM/CGE 2.0","SSP2-19","1p5","1p5-lowOS"
"AIM/CGE 2.1","CD-LINKS_NPi2020_400","1p5","1p5-lowOS"
"AIM/CGE 2.1","EMF33_WB2C_cost100","1p5","1p5-highOS"
"AIM/CGE 2.1","TERL_15D_LowCarbonTransportPolicy","1p5","1p5-lowOS"
"AIM/CGE 2.1","TERL_15D_NoTransportPolicy","1p5","1p5-lowOS"
"C-ROADS-5.005","Ratchet-1.5-allCDR","1p5","1p5-highOS"
"C-ROADS-5.005","Ratchet-1.5-limCDR","1p5","1p5-highOS"
"C-ROADS-5.005","Ratchet-1.5-limCDR-noOS","1p5","1p5-below"
"C-ROADS-5.005","Ratchet-1.5-noCDR","1p5","1p5-lowOS"
"C-ROADS-5.005","Ratchet-1.5-noCDR-noOS","1p5","1p5-below"
"GCAM 4.2","SSP1-19","1p5","1p5-lowOS"
"GCAM 4.2","SSP2-19","1p5","1p5-highOS"
"GCAM 4.2","SSP5-19","1p5","1p5-highOS"
"IMAGE 3.0.1","ADVANCE_2020_1.5C-2100","1p5","1p5-highOS"
"IMAGE 3.0.1","CD-LINKS_NPi2020_400","1p5","1p5-highOS"
"IMAGE 3.0.1","IMA15-AGInt","1p5","1p5-lowOS"
"IMAGE 3.0.1","IMA15-Def","1p5","1p5-lowOS"
"IMAGE 3.0.1","IMA15-Eff","1p5","1p5-lowOS"
"IMAGE 3.0.1","IMA15-LiStCh","1p5","1p5-lowOS"
"IMAGE 3.0.1","IMA15-LoNCO2","1p5","1p5-highOS"
"IMAGE 3.0.1","IMA15-Pop","1p5","1p5-lowOS"
"IMAGE 3.0.1","IMA15-RenElec","1p5","1p5-highOS"
"IMAGE 3.0.1","IMA15-TOT","1p5","1p5-lowOS"
"IMAGE 3.0.1","SSP1-19","1p5","1p5-lowOS"
"MERGE-ETL 6.0","DAC15_50","1p5","1p5-lowOS"
"MESSAGE-GLOBIOM 1.0","ADVANCE_2020_1.5C-2100","1p5","1p5-lowOS"
"MESSAGE-GLOBIOM 1.0","ADVANCE_2030_Price1.5C","1p5","1p5-highOS"
"MESSAGE-GLOBIOM 1.0","EMF33_1.5C_cost100","1p5","1p5-lowOS"
"MESSAGE-GLOBIOM 1.0","EMF33_1.5C_full","1p5","1p5-lowOS"
"MESSAGE-GLOBIOM 1.0","EMF33_WB2C_cost100","1p5","1p5-highOS"
"MESSAGE-GLOBIOM 1.0","EMF33_WB2C_full","1p5","1p5-highOS"
"MESSAGE-GLOBIOM 1.0","EMF33_WB2C_limbio","1p5","1p5-highOS"
"MESSAGE-GLOBIOM 1.0","EMF33_WB2C_nofuel","1p5","1p5-highOS"
"MESSAGE-GLOBIOM 1.0","SSP1-19","1p5","1p5-lowOS"
"MESSAGE-GLOBIOM 1.0","SSP2-19","1p5","1p5-lowOS"
"MESSAGEix-GLOBIOM 1.0","CD-LINKS_NPi2020_400","1p5","1p5-highOS"
"MESSAGEix-GLOBIOM 1.0","LowEnergyDemand","1p5","1p5-lowOS"
"POLES ADVANCE","ADVANCE_2020_1.5C-2100","1p5","1p5-lowOS"
"POLES ADVANCE","ADVANCE_2020_WB2C","1p5","1p5-highOS"
"POLES ADVANCE","ADVANCE_2030_1.5C-2100","1p5","1p5-highOS"
"POLES ADVANCE","ADVANCE_2030_Price1.5C","1p5","1p5-highOS"
"POLES ADVANCE","ADVANCE_2030_WB2C","1p5","1p5-highOS"
"POLES CD-LINKS","CD-LINKS_NPi2020_400","1p5","1p5-highOS"
"POLES EMF33","EMF33_1.5C_cost100","1p5","1p5-below"
"POLES EMF33","EMF33_1.5C_full","1p5","1p5-below"
"POLES EMF33","EMF33_1.5C_limbio","1p5","1p5-below"
"POLES EMF33","EMF33_1.5C_nofuel","1p5","1p5-below"
"POLES EMF33","EMF33_WB2C_cost100","1p5","1p5-lowOS"
"POLES EMF33","EMF33_WB2C_full","1p5","1p5-lowOS"
"POLES EMF33","EMF33_WB2C_limbio","1p5","1p5-lowOS"
"POLES EMF33","EMF33_WB2C_nobeccs","1p5","1p5-lowOS"
"POLES EMF33","EMF33_WB2C_nofuel","1p5","1p5-lowOS"
"POLES EMF33","EMF33_WB2C_none","1p5","1p5-lowOS"
"REMIND 1.5","EMC_Def_100$","1p5","1p5-lowOS"
"REMIND 1.5","EMC_LimSW_100$","1p5","1p5-lowOS"
"REMIND 1.5","EMC_lowEI_100$","1p5","1p5-lowOS"
"REMIND 1.5","EMC_NucPO_100$","1p5","1p5-lowOS"
"REMIND 1.7","ADVANCE_2020_1.5C-2100","1p5","1p5-highOS"
"REMIND 1.7","ADVANCE_2030_1.5C-2100","1p5","1p5-highOS"
"REMIND 1.7","ADVANCE_2030_Price1.5C","1p5","1p5-highOS"
