,Model,Scenario
65,COFFEE 1.1,CO_CurPol
67,COFFEE 1.1,CO_NDCplus
95,COFFEE 1.1,EN_INDCi2100
96,COFFEE 1.1,EN_INDCi2100_COV_NDCp
125,COFFEE 1.1,EN_NPi2100
179,GCAM-PR 5.3,PR_NDC_PriceOnly
200,GEM-E3_V2021,EN_INDCi2100_COV
201,GEM-E3_V2021,EN_INDCi2100_COV_NDCp
358,IMAGE 3.2,SSP2_SPA2_45I_LI
359,IMAGE 3.2,SSP2_SPA2_45I_LIRE
372,MESSAGE-GLOBIOM 1.0,ADVANCE_Reference
504,MESSAGEix-GLOBIOM_1.1,EN_INDCi2100
505,MESSAGEix-GLOBIOM_1.1,EN_INDCi2100_COV
506,MESSAGEix-GLOBIOM_1.1,EN_INDCi2100_COV_NDCp
507,MESSAGEix-GLOBIOM_1.1,EN_INDCi2100_NDCp
756,REMIND 1.6,EMF30_Slower-Action+SLCF
767,REMIND 1.7,ADVANCE_INDC
