time,mean,group
2020,55533.882696493674,C1234
2030,43282.6409450113,C1234
2040,28245.15742822219,C1234
2050,18623.015332160074,C1234
2060,11857.130798710741,C1234
2070,7319.650128200806,C1234
2080,4129.1520880254175,C1234
2090,2012.0532969265837,C1234
2100,746.6481185350974,C1234
2020,55719.99424494509,C56
2030,52612.635384172885,C56
2040,48074.28938875117,C56
2050,43245.589182785465,C56
2060,38334.20646351514,C56
2070,33164.1641641637,C56
2080,27299.782959421857,C56
2090,21580.08596527939,C56
2100,18464.172796420462,C56
2020,57608.30823842974,C78
2030,63862.47156011828,C78
2040,69222.35136563172,C78
2050,73550.42227508014,C78
2060,76765.27299981097,C78
2070,79219.86063414068,C78
2080,81128.38743924539,C78
2090,81284.99102996282,C78
2100,80621.92528907544,C78
