time,mean,group
2020,55630.74452907231,Cluster0
2030,40717.98446884489,Cluster0
2040,25654.278931330926,Cluster0
2050,16373.02582337346,Cluster0
2060,10647.94083471487,Cluster0
2070,7511.134648549714,Cluster0
2080,5742.428400925213,Cluster0
2090,4532.954147169313,Cluster0
2100,3621.1079422353996,Cluster0
2020,55622.16643405649,Cluster1
2030,51093.35042458057,Cluster1
2040,42007.60984936939,Cluster1
2050,34733.51495869455,Cluster1
2060,27909.35557230043,Cluster1
2070,21523.561055396483,Cluster1
2080,15307.045876629141,Cluster1
2090,10148.000142528297,Cluster1
2100,7420.053458273653,Cluster1
2020,57326.3166203411,Cluster2
2030,63035.522428363445,Cluster2
2040,68118.28585547223,Cluster2
2050,72180.66498100427,Cluster2
2060,75370.78354624935,Cluster2
2070,77903.69232573632,Cluster2
2080,79847.24587176373,Cluster2
2090,80032.30406586509,Cluster2
2100,79424.49121904543,Cluster2
