Model,Scenario,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category,Category_name
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,71.0688,70.6531,44.07,40.4388,39.9902,39.0176,39.0241,36.5436,34.6803,33.9737,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2020_Med2C,71.0688,70.6515,45.1029,43.7238,42.6838,40.6302,39.1124,37.9459,36.3785,34.218,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2020_WB2C,71.0688,70.6515,45.097,41.6253,40.4425,38.6534,37.3166,36.257,34.8446,32.9423,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_Med2C,71.0688,69.9274,64.3824,42.3486,41.1687,39.7635,38.4237,37.3804,35.949,33.7917,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,71.1222,70.5099,64.619,40.7055,39.135,37.9824,36.8529,35.6626,34.215,32.723,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_WB2C,71.0688,69.9274,64.3824,42.3287,39.459,38.0081,36.6122,35.7277,34.4182,32.5986,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_INDC,71.1222,70.442,65.4753,58.6237,52.6164,47.7309,39.3374,36.3627,34.0654,31.8544,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_NoPolicy,71.0652,71.3279,68.4134,64.8424,60.3125,58.1359,62.4765,59.1608,51.2896,47.2517,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_Reference,71.1222,70.442,67.5667,63.4866,58.2808,55.8995,60.0586,64.6557,60.2135,54.0459,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_BCOC-EndU,70.46600000000002,67.9502,61.8159,58.4231,53.7684,48.1049,44.1354,41.1701,38.8459,36.3676,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Baseline,70.3497,68.6864,65.0057,60.4381,54.9629,48.7257,44.4878,41.3837,38.98,36.4629,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_CH4-Only,70.3477,68.657,64.858,60.4377,55.4218,49.0726,44.7013,41.4753,39.2297,36.636,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy,70.1222,66.8966,45.775,43.5755,41.3352,38.2868,36.0123,34.1377,32.3007,30.0445,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy+SLCF,70.2375,66.1355,44.6119,42.8714,40.9341,38.1732,35.9587,34.1151,32.287,30.0282,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_BCOC-Red,70.3497,68.6864,65.0057,60.4381,54.9629,48.7257,44.4878,41.3837,38.98,36.4629,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_CH4-ClimPolicy,70.3475,68.6714,64.6776,60.147,54.9479,48.445,43.591,40.6108,38.3806,35.8119,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_CO2-Only,70.1437,66.8951,47.0256,43.2974,39.9895,37.0809,34.7515,33.2649,31.7944,29.9558,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-CH4,70.3497,68.6864,65.0057,60.4381,54.9629,48.7257,44.4878,41.3837,38.98,36.4629,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-EF,70.3497,68.6864,65.0057,60.4381,54.9629,48.7257,44.4878,41.3837,38.98,36.4629,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-EF-EndU,70.3497,68.6864,65.0057,60.4381,54.9629,48.7257,44.4878,41.3837,38.98,36.4629,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-EF-SLCF,70.3497,68.6864,65.0057,60.4381,54.9629,48.7257,44.4878,41.3837,38.98,36.4629,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_SLCF,70.4641,67.9207,61.71100000000001,58.4366,54.1991,48.438,44.34,41.2554,39.0859,36.5484,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-Action,70.1222,67.3385,62.3664,55.3809,49.2333,43.5977,39.4046,36.4215,34.0979,31.8803,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-Action+SLCF,70.2377,66.5664,59.8997,53.3006,47.9822,42.7384,38.9066,36.1426,33.8524,31.4472,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-to-faster,70.1222,67.3385,62.3639,42.1425,39.8259,37.7936,35.8329,34.0085,32.1623,29.843,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-to-faster+SLCF,70.2595,66.6606,59.589,41.9581,38.7474,36.1823,34.7071,33.2757,31.7868,29.801,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-to-faster+SLCF+HFC,70.2595,66.6606,59.5891,41.9582,38.7515,36.18,34.7058,33.2749,31.7861,29.8001,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Bio_1p5Degree,70.2197,61.1469,42.782,40.2187,38.5705,36.7911,35.2118,33.7742,32.3185,30.7418,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Bio_2Degree,70.2197,61.1469,48.1725,42.7662,40.648,38.4776,36.2471,34.482,32.8218,31.1356,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Bio_Baseline,70.2252,68.437,64.7764,60.2886,55.203,48.8007,44.4765,41.2628,38.8656,36.3578,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_EEEI_1p5Degree,69.3686,61.455,42.7673,40.2072,38.3563,36.6117,35.0251,33.5799,32.0821,30.4637,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_EEEI_2Degree,69.3686,61.455,48.5766,42.6265,40.2732,38.0662,35.8359,34.1586,32.5031,30.823,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_EEEI_Baseline,69.3741,66.2344,61.8661,57.045,51.9943,47.687,42.83600000000001,39.3586,36.6056,34.2869,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_1p5Degree,69.1512,60.2714,42.2424,39.5834,37.6636,35.7747,34.0864,32.5362,30.972,29.3328,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_2Degree,69.1512,60.2714,47.52,41.959,39.6371,37.3841,34.978,33.1341,31.3665,29.6084,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_Baseline,69.1566,65.7265,61.4029,56.8001,51.9399,46.4857,42.1927,38.9045,36.3946,33.9345,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Ref_1p5Degree,70.2204,61.1678,42.7903,40.1955,38.4233,36.6558,35.0852,33.6777,32.2328,30.6669,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Ref_2Degree,70.2204,61.1678,48.2394,42.8326,40.5443,38.2796,36.0171,34.3192,32.6806,31.0074,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Ref_Baseline,70.2259,68.4387,64.7819,60.3038,55.2366,48.8529,44.5381,41.3245,38.9252,36.4162,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_1p5Degree,70.2204,61.1678,42.8418,40.2323,38.5356,36.7293,35.1417,33.7186,32.2719,30.7012,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_2Degree,70.2204,61.1678,48.4868,43.048,40.7541,38.4495,36.1356,34.4022,32.7553,31.0711,failed-vetting,failed-vetting
