Model,Scenario,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category,Category_name
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,132.9775,157.8539,48.0824,15.1348,13.902,18.855,19.7587,19.0951,16.1833,36.0455,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2020_Med2C,132.9775,157.8448,59.7526,66.9004,91.2652,92.8231,100.5104,115.9647,129.8212,137.6283,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2020_WB2C,132.9775,157.8448,58.4445,35.2792,58.6114,61.3124,55.43600000000001,71.0598,82.5757,74.9834,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_Med2C,132.9777,156.4538,151.827,43.1515,56.9718,88.67,92.5127,110.9308,127.2762,130.1476,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,133.4149,159.5354,153.3051,15.4982,10.4566,25.9424,28.5427,29.0573,26.5048,48.6654,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_WB2C,132.9777,156.4538,151.827,41.5777,18.7026,22.4248,13.6577,26.573,34.6991,26.1081,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_INDC,133.4149,159.327,157.3533,156.0472,137.5774,107.8865,87.9857,85.2457,92.565,92.6752,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_NoPolicy,133.2204,163.4157,189.5701,213.2813,224.5513,237.3985,310.7731,373.4042,388.1268,423.3056,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_Reference,133.4149,159.327,172.7874,185.7753,187.0592,187.8764,229.7381,316.6147,364.5752,394.8323,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_BCOC-EndU,134.8784,171.7916,208.7329,243.7882,268.7721,270.6718,279.544,299.0783,336.1122,373.3481,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Baseline,134.8204,171.9682,209.2434,243.7961,268.3823,270.1963,278.9276,298.4218,335.3581,373.5246,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_CH4-Only,134.591,169.3429,195.1881,223.496,248.1931,248.7585,255.116,269.9682,303.9842,336.7337,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy,134.0821,154.26,77.9538,81.2975,98.7778,97.4515,90.315,81.3369,63.9957,32.2943,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy+SLCF,134.138,153.25,71.5968,77.9174,99.4961,97.7241,90.0366,80.9987,63.6665,31.969,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_BCOC-Red,134.8204,171.9682,209.2434,243.7961,268.3823,270.1963,278.9276,298.4218,335.3581,373.5246,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_CH4-ClimPolicy,134.5908,169.4018,195.7797,224.5695,249.815,252.8902,264.0533,276.5517,307.6722,335.9989,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_CO2-Only,134.1955,154.2403,88.1589,72.7149,68.4946,65.9478,23.6096,26.9955,30.9547,26.5183,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-CH4,134.8204,171.9682,209.2434,243.7961,268.3823,270.1963,278.9276,298.4218,335.3581,373.5246,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-EF,134.8204,171.9682,209.2434,243.7961,268.3823,270.1963,278.9276,298.4218,335.3581,373.5246,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-EF-EndU,134.8204,171.9682,209.2434,243.7961,268.3823,270.1963,278.9276,298.4218,335.3581,373.5246,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-EF-SLCF,134.8204,171.9682,209.2434,243.7961,268.3823,270.1963,278.9276,298.4218,335.3581,373.5246,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_SLCF,134.65,169.1715,194.727,223.5889,248.7957,249.5547,256.2079,271.285,305.6415,338.9077,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-Action,134.0821,156.7006,151.3427,148.4181,135.9566,107.8977,89.0749,86.2025,92.16,92.0834,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-Action+SLCF,134.138,155.2397,151.9159,143.9598,130.6578,101.5601,85.7377,81.5305,82.1469,73.5571,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-to-faster,134.0821,156.7006,151.2433,54.5427,58.9922,76.0447,81.374,70.2286,50.505,26.4378,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-to-faster+SLCF,134.2525,156.5085,150.9229,56.8299,37.6078,18.6263,24.2668,27.938,30.69400000000001,24.149,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-to-faster+SLCF+HFC,134.2525,156.5085,150.9781,57.6549,38.8517,19.936,24.2626,27.9383,30.6959,24.1508,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Bio_1p5Degree,133.9444,143.3032,41.4448,26.2517,55.7799,42.6178,32.9476,32.167,35.2072,39.4001,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Bio_2Degree,133.9444,143.3032,94.435,64.4098,81.8141,89.4161,85.1723,84.9547,86.3592,91.0121,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Bio_Baseline,134.3787,169.0876,203.4133,235.0092,258.4838,257.3539,261.9496,274.9616,305.0673,335.9467,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_EEEI_1p5Degree,129.7106,134.959,37.7798,22.3038,31.395,23.3078,11.4239,10.2046,9.8695,8.902999999999997,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_EEEI_2Degree,129.7106,134.959,88.7831,53.6648,58.1047,65.51899999999999,56.4913,53.1002,49.7789,48.2493,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_EEEI_Baseline,130.1373,151.9697,170.7272,185.7898,195.6257,201.2008,194.5999,192.6129,196.9647,210.2708,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_1p5Degree,131.3967,140.5628,40.1945,25.2498,41.4407,36.4351,26.1109,25.6168,28.2335,31.4882,failed-vetting,failed-vetting
