Model,Scenario,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category,Category_name
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,495.4092,590.9776,476.6639,547.8162,661.8941,794.6047,894.9156,927.0239,935.4398,1041.7381,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2020_Med2C,495.4092,590.9571,496.1085,609.3946,718.2698,785.1591,858.5683,932.6698,993.7581,1021.696,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2020_WB2C,495.4092,590.9571,494.9216,565.1303,674.6641,741.4084,795.4195,861.2457,913.6686,931.0458,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_Med2C,495.4085,589.1243,633.1158,566.2237,679.9425,774.7668,846.9909,916.9976,975.748,1010.9598,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,495.7635,593.665,633.9113,531.6874,631.8235,710.0861,765.6715,803.313,829.8414,900.6838,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_WB2C,495.4085,589.1243,633.1158,565.0364,630.2586,693.7339999999997,721.7816,786.3758,830.451,833.2705,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_INDC,495.7635,593.2263,638.7623,703.289,766.2704,830.1364,774.2713,805.4417,833.9771,855.7666,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_NoPolicy,495.5473,600.0466,697.0226,783.8214,848.7981,910.9231,1005.4991,1094.7356,1147.936,1198.9152,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_Reference,495.7635,593.2263,679.9273,761.6769,826.6831,892.3166,972.9484,1074.3049,1146.9115,1198.4596,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_BCOC-EndU,473.9851,573.6104,670.5896,756.4181,822.3156,869.8348,922.4074,972.8874,1021.5319,1066.7741,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Baseline,473.9999,573.3728,669.3959,755.5013,821.5483,869.2543,921.8374,972.3186,1020.9583,1066.2013,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_CH4-Only,473.8777,571.317,658.6455,741.9133,808.7471,856.4418,904.194,948.4028,994.9329,1036.8115,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy,473.6116,555.0462,508.8278,589.5484,663.9602,700.8346,733.6177,754.1377,754.7181,710.8468,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy+SLCF,487.1314,568.0424,503.1963,590.525,669.3616,707.8801,739.5371,759.595,759.5307,715.2280000000003,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_BCOC-Red,473.9999,573.3728,669.3959,755.5013,821.5483,869.2543,921.8374,972.3186,1020.9583,1066.2013,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_CH4-ClimPolicy,473.877,571.3247,658.7852,741.8765,808.3095,854.8087,898.6973,943.3934,991.4815,1033.8723,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_CO2-Only,473.6106,555.4033,527.7413,579.9512,623.1471,643.7995,605.9358,643.5438,679.4361,690.0063,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-CH4,473.9999,573.3728,669.3959,755.5013,821.5483,869.2543,921.8374,972.3186,1020.9583,1066.2013,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-EF,473.9999,573.3728,669.3959,755.5013,821.5483,869.2543,921.8374,972.3186,1020.9583,1066.2013,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-EF-EndU,473.9999,573.3728,669.3959,755.5013,821.5483,869.2543,921.8374,972.3186,1020.9583,1066.2013,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-EF-SLCF,473.9999,573.3728,669.3959,755.5013,821.5483,869.2543,921.8374,972.3186,1020.9583,1066.2013,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_SLCF,473.8629,571.5571,659.8549,742.9203,809.7238,857.3204,905.1701,949.4971,996.2494,1038.4438,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-Action,473.6116,559.4299,610.5173,666.9748,714.3892,741.3267,774.6485,805.3409,833.0737,854.1439,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-Action+SLCF,473.5964,558.1385,611.9505,662.9734,708.5310000000003,731.2737,766.9686,794.4109,818.225,825.7838,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-to-faster,473.6116,559.4299,610.3806,537.0371,612.6245,674.0664,720.8806,739.1477,732.4827,697.8628,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-to-faster+SLCF,473.5938,559.6237,611.5708,542.8884,575.6952,566.4194,614.7267,654.145,687.8038,693.1749,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-to-faster+SLCF+HFC,473.5938,559.6237,611.6252,543.4845,576.4017,566.9566,614.7201,654.1644,687.8285,693.1996,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Bio_1p5Degree,486.4586,554.2309,442.4902,486.0689,563.405,590.9863,611.1814,639.4121,671.1346,701.6619999999997,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Bio_2Degree,486.4586,554.2309,543.8297,562.1491,624.2626,670.7899,699.7344,729.2462,757.074,786.9088,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Bio_Baseline,486.7865,584.7872,678.3760000000002,760.2848,822.6219,864.5215,909.3839,951.5084,993.3222,1030.6515,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_EEEI_1p5Degree,475.7889,524.1013,410.6456,426.5653,457.2213,468.469,461.7827,469.834,476.4625,478.1303,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_EEEI_2Degree,475.7889,524.1013,504.2588,491.3114,515.7745,537.9079,536.9793,542.863,546.1671,549.3572,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_EEEI_Baseline,476.1137,544.4462,602.9111,648.5419999999998,676.5701,697.3539,708.9612,717.8774,724.5179,731.9603,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_1p5Degree,479.7795,537.5737,427.1501,457.5758,513.6413,537.6154,548.6906,568.5614,590.7402,611.32,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_2Degree,479.7795,537.5737,523.4327,526.9215,571.9321,610.7717,628.7428,649.8389,668.2965,686.2502,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_Baseline,480.1048,561.5645,638.1011,704.1287,752.2721,784.4042,814.069,840.7039,867.0127,889.4580000000003,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Ref_1p5Degree,486.4535,554.2342,441.3833,477.1903,542.8759,565.8022,579.4597,604.7194,632.692,658.6349,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Ref_2Degree,486.4535,554.2342,543.4511,556.4625,612.7019,655.495,675.7805,703.38,728.8066,755.5112,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Ref_Baseline,486.7813,584.7396,678.1752,759.7288,821.1533,861.9206,905.4166,946.0063,987.2043,1023.8028,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_1p5Degree,486.4535,554.2342,445.1366,485.0797,571.0178,586.357,600.5849,627.6709999999998,658.8465,688.8259,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_2Degree,486.4535,554.2342,550.1395,569.9978,643.7336,681.9149,703.2661,731.5932,758.6752,785.9613,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_Baseline,486.7813,584.7396,678.1752,759.7288,821.1533,861.9206,905.4166,946.0063,987.2043,1023.8028,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_bio_1p5Degree,486.4432,554.1729,442.3281,482.8533,553.6967,579.275,593.9462,620.7887,650.8673,678.9842,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_bio_2Degree,486.4432,554.1729,543.7287,559.94,618.9209,663.5948,689.1263,717.6665,745.0168,773.5061,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_bio_Baseline,486.771,584.7245,678.173,759.8598,821.868,863.4286,907.9359,949.6598,991.2421,1028.3114,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_1p5Degree,486.6978,555.7171,442.9752,479.4554,545.3061,567.889,581.0759,606.9992,635.6024,662.6321,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_2Degree,486.6978,555.7171,545.6187,560.101,617.503,660.7056,681.4003,709.405,735.7315,763.5318,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_Baseline,487.0239,586.9846,682.5642,765.2368,826.5679,867.8186,911.6774,952.5939,993.5,1029.7485,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_solar_1p5Degree,486.4462,554.1844,442.0512,477.36,539.3834,562.2408,575.1433,600.9196,628.2582,653.5275,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_solar_2Degree,486.4462,554.1844,543.533,555.5879,610.41,651.8175,671.0647,697.6923,722.278,748.4852,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_solar_Baseline,486.7739,584.6875,677.9822,759.2243,820.1156,860.573,903.9176,944.3353,985.3656,1021.78,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_wind_1p5Degree,486.4403,554.2244,444.1315,479.9905,540.8819,563.2237,575.6548,601.7801,628.9343,653.8919,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_wind_2Degree,486.4403,554.2244,544.7066,557.7308,611.655,652.2435,672.4829,700.6817,726.5574,753.4763,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_wind_Baseline,486.768,584.6423,677.8446,758.962,819.9268,860.3618,903.6605,944.083,985.0137,1021.671,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_SupTech_1p5Degree,486.6669,555.5987,451.155,496.3887,578.1056,595.6671,610.0117,638.8709,670.7559,701.18,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_SupTech_2Degree,486.6669,555.5987,555.746,580.3395,651.4103,689.9634,716.8774,747.2810000000003,776.2218,806.8556,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_SupTech_Baseline,486.9928,586.8174,682.03,764.0755,824.961,866.3052,910.7262,952.406,993.5442,1029.7549,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_combined_1p5Degree,469.2725,508.0543,404.4106,424.5905,463.1848,468.9886,463.3404,465.8836,468.5403,467.667,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_combined_2Degree,469.2725,508.0543,491.5859,483.2122,507.9154,523.1458,524.1353,525.8972,525.0977,522.7258,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_combined_Baseline,469.5944,523.8707,568.868,601.9186,618.6638,630.2458,634.0884,632.3605,627.3002,621.6177,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP1-19,470.1031,512.6219,420.5853,423.937,442.1869,429.1488,424.6967,413.0921,404.5736,390.2476,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP1-26,470.1648,512.7591,508.5986,482.4276,501.2413,506.1213,485.3447,475.4564,460.3308,447.0171,C3,C3: limit warming to 2°C (>67%)
AIM/CGE 2.0,SSP1-34,470.1648,512.7591,546.7463,555.4532,551.3406,534.7748,528.1389,517.9477,507.82,493.8859,C5,C5: limit warming to 2.5°C (>50%)
AIM/CGE 2.0,SSP1-45,470.1648,508.3489,562.504,597.3443,608.1712,602.8804,587.7839,561.0112,534.6702,508.0139,C6,C6: limit warming to 3°C (>50%)
AIM/CGE 2.0,SSP1-Baseline,470.713,525.4853,583.3196,619.1282,634.7324,637.0322,627.4771,614.3458,597.0849,576.5366,C7,C7: limit warming to 4°C (>50%)
AIM/CGE 2.0,SSP2-19,487.1944,575.0153,452.3409,484.0088,564.5661,574.7519,606.2488,630.8987,656.1731,681.9283,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP2-26,487.533,574.9947,535.0639,558.9966,627.2582,666.7692,686.1066,713.163,735.9431,761.4828,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP2-34,487.533,574.9947,598.0814,623.452,663.6996,708.9294,746.1532,775.715,801.0199,824.6113,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP2-45,487.533,574.9947,648.9698,708.1715,724.3645,721.8474,750.4566,795.7412,830.5075,857.6449,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP2-60,487.533,574.9947,657.9218,728.085,775.3077,807.4549,848.3265,880.4114,909.4509,937.2795,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP2-Baseline,488.228,591.4607,691.4454,779.2543,845.0011,890.9885,940.3812,988.0395,1035.727,1079.2268,failed-vetting,failed-vetting
