Model,Scenario,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category,Category_name
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,74.0035,95.2085,125.6172,213.0507,269.4428,298.5098,324.9291,351.6398,380.1225,374.6016,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2020_Med2C,74.0035,95.2073,119.0464,151.8026,170.9822,197.765,222.2716,240.0091,261.2221,288.5511,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2020_WB2C,74.0035,95.2073,119.0359,178.4598,204.8262,248.459,282.7485,297.178,315.4435,346.4824,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_Med2C,74.0037,95.4056,121.2749,167.8414,193.2231,216.7569,240.6336,253.0831,271.1709,301.9797,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,74.0969,95.9432,121.9714,208.3154,265.6467,286.1333,310.0384,335.8796,362.7309,360.7015,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_WB2C,74.0037,95.4056,121.2749,168.1316,246.8813,294.4824,335.0594,344.1033,359.8714,390.2626,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_INDC,74.0969,95.9537,123.311,155.4395,180.5043,200.3771,230.2272,263.0132,296.0532,326.7136,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_NoPolicy,73.9725,95.0207,116.4754,139.1662,161.0619,181.1378,214.287,246.3182,268.8508,295.9202,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_Reference,74.0969,95.9537,120.0146,143.4094,165.3702,182.438,210.2388,245.8711,276.2849,306.2192,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_BCOC-EndU,76.1001,100.4342,126.6762,153.8673,182.0094,202.1331,224.1138,249.4318,277.8399,307.0015,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Baseline,76.1345,100.2179,125.5947,153.1101,181.5072,201.7789,223.8474,249.2473,277.652,307.3219,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_CH4-Only,76.1802,100.7016,127.8614,155.36,183.7511,203.7442,225.8543,251.3616,280.2289,310.0343,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy,76.1459,98.139,119.4139,155.0656,185.3347,226.307,268.6929,309.1625,349.8153,399.544,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy+SLCF,76.1098,98.2033,121.0021,156.6221,186.5356,225.6068,268.5991,308.9446,349.2085,399.9584,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_BCOC-Red,76.1345,100.2179,125.5947,153.1101,181.5072,201.7789,223.8474,249.2473,277.652,307.3219,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_CH4-ClimPolicy,76.1803,100.723,128.2578,156.1556,185.4819,208.5874,239.9627,265.3752,292.6293,321.7935,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_CO2-Only,76.1781,98.1048,117.6372,157.4887,205.2775,267.0021,335.8183,357.6552,378.3032,408.9086,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-CH4,76.1345,100.2179,125.5947,153.1101,181.5072,201.7789,223.8474,249.2473,277.652,307.3219,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-EF,76.1345,100.2179,125.5947,153.1101,181.5072,201.7789,223.8474,249.2473,277.652,307.3219,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-EF-EndU,76.1345,100.2179,125.5947,153.1101,181.5072,201.7789,223.8474,249.2473,277.652,307.3219,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-EF-SLCF,76.1345,100.2179,125.5947,153.1101,181.5072,201.7789,223.8474,249.2473,277.652,307.3219,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_SLCF,76.1447,100.9179,128.9479,156.1269,184.3089,204.1472,226.1336,251.518,280.3195,310.0383,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-Action,76.1459,98.3392,124.1427,154.6012,184.1729,210.7682,239.9231,273.9899,305.6202,335.6021,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-Action+SLCF,76.1099,98.2358,125.4151,154.8043,184.4387,212.3132,242.4539,278.2734,311.3995,345.4408,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-to-faster,76.1459,98.3392,124.1635,164.2848,208.7328,239.4952,279.7596,320.6799,362.2621,409.6161,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-to-faster+SLCF,76.1425,98.5169,125.1248,164.7744,234.0486,309.1341,334.8004,356.9954,379.5476,413.9532,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-to-faster+SLCF+HFC,76.1425,98.5169,125.1265,164.8101,233.9711,308.8346,334.7776,356.9714,379.526,413.9327,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Bio_1p5Degree,75.8988,96.0914,138.3543,204.2196,237.6009,274.4711,309.8615,334.17,350.7148,365.3687,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Bio_2Degree,75.8988,96.0914,116.9903,165.8104,194.6126,221.12,259.0669,289.6927,314.2294,332.1283,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Bio_Baseline,75.7789,98.6439,122.6268,148.542,175.8874,195.6727,216.908,240.8232,266.2489,291.386,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_EEEI_1p5Degree,74.0659,90.04299999999998,124.3948,175.4758,205.6969,233.7158,261.9672,274.0006,281.1226,285.9166,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_EEEI_2Degree,74.0659,90.04299999999998,105.1597,140.2409,159.958,176.0466,206.4588,224.1761,238.2223,247.3381,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_EEEI_Baseline,73.9487,91.2484,107.7633,124.3872,140.5358,153.2504,163.2887,173.0799,183.3455,194.7798,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_1p5Degree,75.2988,94.7333,132.9338,194.046,230.9684,267.2446,300.4331,319.9153,332.7489,343.1784,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_2Degree,75.2988,94.7333,113.7686,156.7656,184.2958,207.7319,245.8686,272.9917,294.6232,310.0136,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_Baseline,75.1793,96.579,119.0241,143.176,168.0626,186.5672,204.1978,222.5868,241.6581,260.0739,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Ref_1p5Degree,75.9004,96.0565,138.5995,204.0391,243.8154,283.1637,320.0867,342.0654,360.0435,375.7636,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Ref_2Degree,75.9004,96.0565,117.05,163.5922,195.157,224.1848,266.8896,296.411,321.4019,341.5102,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Ref_Baseline,75.7805,98.6513,122.6296,148.4562,175.3724,194.486,214.9794,238.1098,263.3474,288.3554,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_1p5Degree,75.9004,96.0565,138.1864,203.5833,240.4323,279.369,316.8139,339.5780000000001,356.9435,371.7787,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_2Degree,75.9004,96.0565,117.3381,163.2464,195.9216,225.2633,266.2981,296.7622,320.5549,340.0278,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_Baseline,75.7805,98.6513,122.6296,148.4562,175.3724,194.486,214.9794,238.1098,263.3474,288.3554,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_bio_1p5Degree,75.8994,96.0532,138.8719,204.7124,241.3414,279.4535,317.3476,338.7309,355.8249,370.7296,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_bio_2Degree,75.8994,96.0532,117.2572,165.2572,195.5151,223.3314,263.3611,293.6670000000001,317.6116,336.9067,failed-vetting,failed-vetting
