Model,Scenario,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category,Category_name
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,1.2983,1.3201,3.5329,21.2439,35.517,51.4854,64.2675,66.3909,64.8697,73.2471,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2020_Med2C,1.2983,1.3201,2.6258,10.3527,17.4426,23.8578,30.4015,35.2675,39.6459,40.3533,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2020_WB2C,1.2983,1.3201,2.6396,14.7203,20.9528,28.4415,34.6304,37.1662,39.9379,42.4109,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_Med2C,1.2983,1.3589,1.7414,11.8495,20.8651,24.7868,31.3622,34.2925,37.5166,40.8855,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,1.3049,1.3546,1.7406,18.436,32.1246,34.7618,38.817,40.7117,42.5066,44.0352,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_WB2C,1.2983,1.3589,1.7414,11.9248,27.4584,31.5471,36.4499,37.9808,38.9338,39.7772,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_INDC,1.3049,1.3599,1.7495,5.825,12.5513,21.6659,18.4657,21.2273,22.6464,24.0208,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_NoPolicy,1.2977,1.3441,1.456999999999999,1.8715,2.9255,4.3243,5.7164,7.0148,8.0638,9.3567,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_Reference,1.3049,1.3599,1.4001,2.6406,5.1772,8.8853,11.8921,13.8344,15.9908,18.4757,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_BCOC-EndU,1.3606,1.5161,1.7266,2.1552,3.1428,4.5081,6.3218,8.0692,9.0716,10.2462,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Baseline,1.3609,1.5164,1.7254,2.1523,3.1352,4.4978,6.3086,8.0544,9.0557,10.2427,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_CH4-Only,1.3613,1.5188,1.771999999999999,2.5867,3.7172,5.2911,6.3773,7.4594,8.2942,9.2923,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy,1.3613,1.5247,2.4508,7.2319,11.163,14.8046,18.4668,20.17,21.0168,19.0493,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy+SLCF,1.3608,1.5245,2.5838,7.5336,11.141,14.9562,18.628,20.2997,21.1282,19.0803,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_BCOC-Red,1.3609,1.5164,1.7254,2.1523,3.1352,4.4978,6.3086,8.0544,9.0557,10.2427,failed-vetting,failed-vetting
