Model,Scenario,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category,Category_name
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,28.7001,35.7534,10.8985,2.9378,2.9095,4.3168,4.621,4.5828,3.964,9.0924,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2020_Med2C,28.7001,35.7511,13.7011,14.6458,19.9502,20.5646,22.9594,27.0791,31.0204,33.68,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2020_WB2C,28.7001,35.7511,13.4327,7.4758,13.3889,14.4928,13.369,17.4496,20.6313,19.0288,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_Med2C,28.7002,35.5586,34.5542,9.4695,12.6063,20.3256,21.5023,26.2099,30.6598,32.0547,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,28.8083,36.2031,34.9422,3.1777,2.2769,6.3093,7.0282,7.3172,6.785,12.6731,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_WB2C,28.7002,35.5586,34.5542,9.0852,3.9582,5.1991,3.1856,6.4946,8.6719,6.5866,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_INDC,28.8083,36.1644,35.8832,37.7977,34.3599,25.8626,21.16800000000001,20.9543,23.7762,24.3722,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_NoPolicy,28.768,37.3205,46.1464,55.0325,61.2348,66.3038,88.0604,109.5012,117.8192,131.4916,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_Reference,28.8083,36.1644,40.6913,46.2031,49.5289,51.2189,63.9749,90.47,108.3145,121.1637,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_BCOC-EndU,30.6259,43.0377,57.0927,70.5291,82.4745,86.1254,92.082,101.6751,116.9857,132.5198,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Baseline,30.6419,42.872,56.27,69.8845,81.9345,85.7235,91.7128,101.3384,116.6387,132.5922,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_CH4-Only,30.5794,42.0237,51.5342,62.7328,74.2357,77.45,82.4533,90.3614,104.403,118.2092,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy,30.4862,37.4123,19.6075,19.31,23.2279,23.7915,23.04300000000001,21.4479,17.2372,8.7996,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy+SLCF,30.4696,37.3012,18.0177,18.5649,23.5491,23.9548,23.05,21.4164,17.2015,8.7462,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_BCOC-Red,30.6419,42.872,56.27,69.8845,81.9345,85.7235,91.7128,101.3384,116.6387,132.5922,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_CH4-ClimPolicy,30.5794,42.0346,51.7858,63.195,74.9846,79.2204,86.4481,93.4742,106.2775,118.3385,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_CO2-Only,30.5189,37.3955,22.6162,17.4542,16.4194,16.7812,6.2201,7.2246,8.3924,7.2537,failed-vetting,failed-vetting
