Model,Scenario,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category,Category_name
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,15.6363,20.6869,21.4164,11.9611,13.0899,17.547,19.2557,19.9751,19.7984,28.1876,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2020_Med2C,15.6363,20.6875,22.5071,21.8545,21.0687,21.9726,24.2904,25.5603,27.0075,29.5466,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2020_WB2C,15.6363,20.6875,22.494,18.5495,23.7511,26.782,28.4528,31.7459,34.169,34.9947,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_Med2C,15.6363,20.9234,24.7677,18.3369,19.7954,24.1476,26.2832,27.4973,28.7426,31.2959,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,15.4747,20.5832,24.7532,11.5482,11.4743,20.2529,22.8848,24.7343,24.8383,34.1722,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_WB2C,15.6363,20.9234,24.7677,18.3108,13.3889,18.2551,14.0725,21.4967,25.505,22.8514,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_INDC,15.4747,20.6067,24.88,25.2331,26.2492,27.2137,25.7544,28.1654,30.131,30.8659,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_NoPolicy,15.6286,21.0225,26.8905,32.0599,36.6701,40.6641,44.2176,48.8567,54.6727,59.8907,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_Reference,15.4747,20.6067,23.1378,25.0265,26.8852,29.31900000000001,31.7843,34.029,36.9079,41.2719,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_BCOC-EndU,15.0897,19.4308,24.1539,28.2117,32.1821,36.5063,40.5401,44.0506,46.4992,49.9004,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Baseline,15.0952,19.3895,23.9927,28.1103,32.111,36.4505,40.5004,44.0101,46.4666,49.9199,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_CH4-Only,15.107,19.1414,22.7126,26.3819,30.1543,34.4052,38.5001,41.8745,44.0855,47.2648,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy,15.1475,19.4994,20.2884,18.9251,18.3007,20.5457,24.121,26.8373,27.5127,22.4468,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy+SLCF,15.1421,19.5832,20.059,19.0002,18.6099,20.843,24.404,27.0389,27.6713,22.4278,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_BCOC-Red,15.0952,19.3895,23.9927,28.1103,32.111,36.4505,40.5004,44.0101,46.4666,49.9199,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_CH4-ClimPolicy,15.1072,19.1549,22.8438,26.6374,30.6559,35.905,42.7159,45.8059,47.6507,50.03899999999999,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_CO2-Only,15.1521,19.4891,20.4783,18.3748,17.9428,21.7059,16.7559,19.2669,21.4826,20.4879,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-CH4,15.0952,19.3895,23.9927,28.1103,32.111,36.4505,40.5004,44.0101,46.4666,49.9199,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-EF,15.0952,19.3895,23.9927,28.1103,32.111,36.4505,40.5004,44.0101,46.4666,49.9199,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-EF-EndU,15.0952,19.3895,23.9927,28.1103,32.111,36.4505,40.5004,44.0101,46.4666,49.9199,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-EF-SLCF,15.0952,19.3895,23.9927,28.1103,32.111,36.4505,40.5004,44.0101,46.4666,49.9199,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_SLCF,15.1018,19.1831,22.8742,26.4882,30.2342,34.4762,38.5678,41.9548,44.1818,47.3814,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-Action,15.1475,19.5087,22.0956,22.5241,22.4121,24.0307,26.3983,28.7952,30.9217,31.6775,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-Action+SLCF,15.1419,19.6293,22.2064,22.6488,22.5492,23.6761,25.54300000000001,27.7913,29.686,29.8217,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-to-faster,15.1475,19.5087,22.1029,16.8038,15.9348,20.1196,24.419,26.5184,25.9981,20.7204,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-to-faster+SLCF,15.1474,19.5391,22.2114,17.0814,13.5524,12.5964,17.8887,20.5438,22.4522,20.6331,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-to-faster+SLCF+HFC,15.1474,19.5391,22.211,17.0714,13.5296,12.5839,17.8925,20.5482,22.4566,20.6366,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Bio_1p5Degree,15.0524,18.7706,16.812,12.2659,18.1306,19.2954,18.4107,19.4642,21.6346,23.73,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Bio_2Degree,15.0524,18.7706,19.7889,16.33,16.3078,17.9727,20.5806,22.9833,24.8241,26.134,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Bio_Baseline,15.0979,19.1165,23.493,27.2388,30.699,34.3881,37.8267,40.8079,42.9664,45.6174,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_EEEI_1p5Degree,14.6486,16.9252,15.0025,10.295,12.4022,13.5492,9.8671,9.5884,9.7915,9.5232,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_EEEI_2Degree,14.6486,16.9252,17.0591,13.2943,12.1648,13.7058,15.4368,16.5597,17.3463,17.7855,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_EEEI_Baseline,14.6934,17.379,20.0648,22.3597,24.0209,25.7814,27.8081,29.5404,30.9176,31.5561,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_1p5Degree,14.9494,18.3065,16.4746,12.3293,17.3694,17.9805,16.3223,17.2569,19.0862,20.9689,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_2Degree,14.9494,18.3065,19.1813,15.6154,15.0201,16.913,19.5944,21.6496,23.2131,24.4826,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_Baseline,14.9946,18.7561,22.8668,26.4779,29.6285,32.9617,36.0997,38.8038,40.5995,41.7177,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Ref_1p5Degree,15.0496,18.7638,16.5635,11.9996,17.0205,17.7275,15.644,16.5249,17.9633,19.4103,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Ref_2Degree,15.0496,18.7638,19.574,16.2748,16.2496,18.3607,21.126,23.4815,25.2948,26.6069,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Ref_Baseline,15.095,19.1002,23.452,27.1758,30.6872,34.4726,38.0198,41.145,43.3261,46.0036,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_1p5Degree,15.0496,18.7638,17.0207,12.9693,21.5135,19.7305,17.8921,19.0161,21.065,23.1148,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_2Degree,15.0496,18.7638,19.6885,17.0771,17.808,19.7649,22.7127,25.135,27.0991,28.3528,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_Baseline,15.095,19.1002,23.452,27.1758,30.6872,34.4726,38.0198,41.145,43.3261,46.0036,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_bio_1p5Degree,15.0493,18.765,16.5709,12.0306,17.3531,18.3177,16.6217,17.7329,19.5455,21.4224,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_bio_2Degree,15.0493,18.765,19.5702,16.1604,16.0532,17.9166,20.5955,22.9344,24.863,26.1839,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_bio_Baseline,15.0947,19.0999,23.4513,27.1688,30.6261,34.3409,37.8155,40.8359,42.9915,45.6348,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_1p5Degree,15.0891,19.11,16.8452,12.1829,16.8824,17.4056,14.9535,15.692,16.8493,17.6107,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_2Degree,15.0891,19.11,20.1519,16.7091,16.4092,18.3215,21.0244,23.2128,24.7997,25.7181,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_Baseline,15.1353,19.4276,23.9831,27.7831,31.2902,35.1151,38.6444,41.7161,43.7256,45.6561,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_solar_1p5Degree,15.0478,18.7375,16.3228,11.5976,15.8697,16.57,14.0768,14.9763,16.4568,17.8152,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_solar_2Degree,15.0478,18.7375,19.3453,15.7548,15.4825,17.436,20.0229,22.0139,23.6607,25.0576,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_solar_Baseline,15.0932,19.0867,23.4061,27.0632,30.4535,34.1984,37.7295,40.8106,42.9723,45.6034,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_wind_1p5Degree,15.046,18.7183,16.2747,11.4398,15.3074,15.9654,13.6468,14.2889,15.3963,16.4345,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_wind_2Degree,15.046,18.7183,19.2679,15.5772,15.1332,17.1577,19.7398,21.8579,23.855,25.5394,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_wind_Baseline,15.0915,19.0763,23.3798,27.0167,30.4155,34.1428,37.6674,40.7751,42.9099,45.0933,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_SupTech_1p5Degree,15.0833,19.0375,16.7642,12.1583,18.3777,16.5876,15.1116,15.9158,17.1662,18.1203,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_SupTech_2Degree,15.0833,19.0375,19.7271,16.5593,16.0909,17.1798,19.5919,21.6504,23.0252,23.9461,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_SupTech_Baseline,15.1295,19.389,23.8619,27.5,30.7114,34.3437,37.7431,40.6385,42.5441,44.322,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_combined_1p5Degree,14.5763,16.7645,15.2108,10.6745,13.6117,13.2862,11.16,10.8036,10.6147,10.0167,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_combined_2Degree,14.5763,16.7645,16.81900000000001,13.1402,11.2598,11.4061,12.5255,13.2671,13.5876,13.4708,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_combined_Baseline,14.6215,17.3235,19.9251,22.1023,23.1762,24.3434,25.7443,26.588,27.2514,27.0048,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP1-19,15.3129,19.7477,17.8866,12.9407,12.8663,10.4764,9.2834,8.1149,8.4263,7.8385,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP1-26,15.3083,19.7354,20.7885,17.2831,14.7395,15.7636,17.6604,19.4367,20.6142,21.9293,C3,C3: limit warming to 2°C (>67%)
AIM/CGE 2.0,SSP1-34,15.3083,19.7354,20.7476,20.6445,19.2975,19.6547,20.1737,21.3608,22.4595,23.1999,C5,C5: limit warming to 2.5°C (>50%)
AIM/CGE 2.0,SSP1-45,15.3083,20.078,20.8035,21.4355,21.1881,23.2869,26.022,28.218,29.3031,29.7827,C6,C6: limit warming to 3°C (>50%)
AIM/CGE 2.0,SSP1-Baseline,15.349,19.7533,23.5337,25.3519,25.4002,27.0677,29.8033,32.6813,34.9204,36.177,C7,C7: limit warming to 4°C (>50%)
AIM/CGE 2.0,SSP2-19,15.1344,19.5334,18.5534,13.9983,21.3462,17.8567,17.5073,17.9468,18.5222,19.4338,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP2-26,15.1305,19.5371,20.7727,18.1622,18.7544,20.2975,22.6266,24.6311,25.6899,26.5862,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP2-34,15.1305,19.5371,21.1739,18.8231,15.8801,15.9691,18.697,21.7582,23.9502,25.7825,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP2-45,15.1305,19.5371,20.8102,20.6334,19.007,17.4681,17.1059,18.3682,20.2626,22.2847,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP2-60,15.1305,19.5371,20.9902,21.2345,20.2966,20.4895,22.2862,24.1288,25.3507,26.1936,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP2-Baseline,15.1526,19.4232,24.1556,28.2449,32.2002,36.4379,40.3573,43.7246,46.1348,49.5203,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP3-34,14.5947,17.3546,19.8085,19.1521,18.084,17.7101,16.1511,14.5639,12.1846,10.0856,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP3-45,14.5947,17.3546,18.8549,19.4067,17.0599,14.7046,14.9183,14.8329,14.3849,13.3824,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP3-60,14.5947,17.3546,18.7724,19.4467,18.8354,17.298,15.3585,13.511,12.6218,11.9038,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP3-Baseline,14.6118,17.2992,20.7569,23.2382,25.7279,26.2316,25.3254,24.2012,23.1776,22.1954,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP4-26,15.5815,20.4917,23.0005,20.4302,18.5159,19.5613,21.7801,23.2387,23.802,23.6612,C3,C3: limit warming to 2°C (>67%)
AIM/CGE 2.0,SSP4-34,15.5815,20.4917,23.235,23.1243,20.9272,20.1352,20.9963,22.0637,22.3522,22.5144,C5,C5: limit warming to 2.5°C (>50%)
AIM/CGE 2.0,SSP4-45,15.5815,20.4917,23.2127,23.8215,22.7233,23.4053,24.7613,25.784,24.9365,24.1957,C6,C6: limit warming to 3°C (>50%)
AIM/CGE 2.0,SSP4-Baseline,15.6287,20.7453,25.2137,27.2572,27.0393,27.5233,28.7399,30.0061,30.6593,30.7758,C7,C7: limit warming to 4°C (>50%)
AIM/CGE 2.0,SSP5-26,15.2037,19.8938,24.0285,23.5779,31.423,38.0541,39.0644,41.0864,42.4932,43.92100000000001,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP5-34,15.2037,19.8938,24.7678,27.736,31.2732,34.932,38.0925,41.3955,43.4115,45.1423,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP5-45,15.2037,19.8938,24.1252,27.4058,28.8028,30.3671,33.2139,36.1812,39.6897,42.5569,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP5-60,15.2037,19.8938,23.9687,28.0632,29.7138,29.9226,31.6199,33.6176,36.214,39.1176,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP5-Baseline,15.2249,19.6863,26.1086,33.8197,42.2853,47.9075,51.7399,53.8977,60.0176,67.7524,failed-vetting,failed-vetting
AIM/CGE 2.1,CD-LINKS_INDC2030i_1600,15.5122,20.6182,26.8779,22.0364,24.2294,28.4402,29.2801,30.5311,31.8384,32.8076,C5,C5: limit warming to 2.5°C (>50%)
AIM/CGE 2.1,CD-LINKS_INDCi,15.5125,20.6265,26.8991,27.091,28.603,31.2897,33.2655,35.5233,37.1219,40.5917,C7,C7: limit warming to 4°C (>50%)
AIM/CGE 2.1,CD-LINKS_NDC2030i_1000,15.5122,20.6182,26.8779,22.7399,27.0937,31.4078,32.44,33.3321,34.406,36.0305,C4,C4: limit warming to 2°C (>50%)
AIM/CGE 2.1,CD-LINKS_NPi,16.0618,21.9738,27.9075,33.6874,40.5602,46.9446,50.5271,53.1929,54.9465,60.26600000000001,failed-vetting,failed-vetting
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,16.0438,21.7974,25.0781,23.9596,28.3088,29.5717,31.8186,33.246,34.5081,35.5514,C3,C3: limit warming to 2°C (>67%)
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,15.5122,20.4803,24.0327,23.4281,22.3157,26.0126,28.8919,29.3608,30.5719,33.1172,C5,C5: limit warming to 2.5°C (>50%)
AIM/CGE 2.1,CD-LINKS_NPi2020_400,16.0457,21.7999,25.0011,22.5716,27.7647,27.5197,29.899,29.0562,29.5455,26.524,C1,C1: limit warming to 1.5°C (>50%) with no or limited overshoot
AIM/CGE 2.1,CD-LINKS_NoPolicy,16.3149,22.781,29.3255,35.6135,42.9359,49.8427,53.2217,55.6928,59.1037,64.8554,failed-vetting,failed-vetting
AIM/CGE 2.1,CO_2Deg2020,16.2564,20.777,23.6739,28.8256,34.2985,30.92228335049757,30.130445454330008,28.546725944975563,26.215552656813696,24.844564034319983,no-climate-assessment,no-climate-assessment
AIM/CGE 2.1,CO_2Deg2030,16.2564,20.7583,25.5337,28.4874,34.3595,30.92228335049757,30.130445454330008,28.546725944975563,26.215552656813696,24.844564034319983,no-climate-assessment,no-climate-assessment
AIM/CGE 2.1,CO_BAU,16.257,21.2103,26.096,30.6912,36.1108,30.92228335049757,30.130445454330008,28.546725944975563,26.215552656813696,24.844564034319983,no-climate-assessment,no-climate-assessment
