Model,Scenario,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category,Category_name
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,0.1996,0.2311,0.278,0.3323,0.3918,0.4668000000000001,0.5454,0.6272,0.7111000000000001,0.7962,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2020_Med2C,0.1996,0.2311,0.2785,0.3324,0.382999999999999,0.4454,0.5085000000000001,0.5622,0.6203000000000001,0.6915,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2020_WB2C,0.1996,0.2311,0.2785,0.3329,0.3944,0.4651,0.5434,0.6248,0.7077,0.7927000000000001,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_Med2C,0.1996,0.2334,0.2793,0.328999999999999,0.3865,0.4536,0.5289,0.5889,0.6448,0.7206,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,0.2,0.2328,0.2812,0.3362,0.3984,0.4702,0.5492,0.6316,0.7159,0.802,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_WB2C,0.1996,0.2334,0.2793,0.328999999999999,0.39,0.4603,0.5378000000000001,0.6185,0.7010000000000001,0.7852,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_INDC,0.2,0.233,0.2817,0.3356,0.373,0.3962,0.4872,0.5575,0.63,0.7039000000000001,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_NoPolicy,0.2,0.2329,0.2752,0.3155,0.3531,0.4009,0.4547000000000001,0.515,0.5772,0.6413,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_Reference,0.2,0.233,0.2527,0.2629,0.2808,0.3126,0.3453,0.3864,0.4379999999999991,0.4923,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_BCOC-EndU,0.2036,0.246,0.2964,0.3501,0.4054,0.4731,0.5427000000000001,0.6124,0.6880000000000001,0.7681,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Baseline,0.2037,0.246,0.2961,0.3491,0.4044,0.4721,0.5413,0.6108,0.6865,0.7662,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_CH4-Only,0.2036,0.2446,0.2808,0.3211,0.3698,0.4283,0.4894,0.5528000000000001,0.6193000000000001,0.6903,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy,0.2036,0.2452,0.2958,0.348,0.4034,0.4735,0.5526,0.635,0.7192000000000001,0.805,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy+SLCF,0.2036,0.2455,0.2961,0.3498,0.4045,0.4753,0.5547000000000001,0.6372,0.7218,0.8079999999999989,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_BCOC-Red,0.2037,0.246,0.2961,0.3491,0.4044,0.4721,0.5413,0.6108,0.6865,0.7662,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_CH4-ClimPolicy,0.2036,0.2446,0.2817,0.3228,0.3744,0.4384,0.5108,0.5866,0.6632,0.7407,failed-vetting,failed-vetting
