Model,Scenario,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category,Category_name
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,12.0451,15.7596,22.8584,23.7639,21.3492,19.4393,20.3138,22.2022,24.4477,23.0594,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2020_Med2C,12.0451,15.7598,22.8272,19.8794,14.8752,15.2292,17.0197,18.1013,19.6165,22.3459,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2020_WB2C,12.0451,15.7598,22.8272,20.7734,15.6356,17.0508,19.9304,20.5379,21.7032,24.4755,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_Med2C,12.0451,15.7791,19.3944,28.353,22.8073,20.2826,21.9099,22.6369,24.0371,26.0357,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,12.0769,15.8443,19.4529,23.7021,19.9856,17.1736,17.9626,19.5902,21.2169,20.5567,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_WB2C,12.0451,15.7791,19.3944,28.3609,29.3795,29.5395,31.0148,31.0264,31.0756,31.2989,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_INDC,12.0769,15.8567,19.4864,21.2975,20.9125,22.0861,27.5224,27.9852,28.4811,28.9447,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_NoPolicy,12.0785,15.1827,17.3164,19.5613,22.321,24.9327,26.8699,26.406,26.9117,27.3199,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_Reference,12.0769,15.8567,19.5584,21.5375,23.3659,24.4199,25.9724,26.7428,26.6079,27.1981,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_BCOC-EndU,12.2952,15.4434,17.643,20.2119,23.0635,25.7944,27.1259,28.39,29.2836,29.6713,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Baseline,12.3022,15.4501,17.6455,20.2644,23.205,25.8664,27.1903,28.4611,29.2891,29.6758,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_CH4-Only,12.2569,15.94,19.7356,22.3736,25.0819,26.6862,27.8114,29.2063,29.5646,29.8426,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy,12.2576,16.2781,22.7315,21.9616,19.4048,22.3351,27.0264,29.4634,30.7427,31.4711,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy+SLCF,12.2505,16.3084,23.0057,21.6336,18.5217,21.1819,25.9498,28.8059,29.9779,31.2939,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_BCOC-Red,12.3022,15.4501,17.6455,20.2644,23.205,25.8664,27.1903,28.4611,29.2891,29.6758,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_CH4-ClimPolicy,12.2569,15.9445,19.7524,22.4333,25.2919,27.042,29.096,29.9196,30.1186,30.3563,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_CO2-Only,12.2577,16.2783,21.9289,23.4972,24.3967,28.4922,31.3287,31.4039,31.4496,31.6119,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-CH4,12.3022,15.4501,17.6455,20.2644,23.205,25.8664,27.1903,28.4611,29.2891,29.6758,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-EF,12.3022,15.4501,17.6455,20.2644,23.205,25.8664,27.1903,28.4611,29.2891,29.6758,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-EF-EndU,12.3022,15.4501,17.6455,20.2644,23.205,25.8664,27.1903,28.4611,29.2891,29.6758,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-EF-SLCF,12.3022,15.4501,17.6455,20.2644,23.205,25.8664,27.1903,28.4611,29.2891,29.6758,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_SLCF,12.2497,15.9327,19.7317,22.3163,24.9564,26.6515,27.754,29.1737,29.5588,29.8433,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-Action,12.2576,16.0156,19.6682,21.9725,23.0954,25.4294,27.5548,27.983,28.4771,28.939,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-Action+SLCF,12.2507,16.0079,19.6631,22.1626,23.3223,26.0499,27.6543,28.1933,28.8262,29.2838,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-to-faster,12.2576,16.0156,19.6682,28.9649,28.3074,28.6744,30.7499,31.2103,31.5208,31.794,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-to-faster+SLCF,12.2507,16.0081,19.6633,28.4445,29.4013,31.1442,31.1738,31.2546,31.3108,31.4883,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-to-faster+SLCF+HFC,12.2507,16.0081,19.6632,28.4423,29.3913,31.1442,31.1738,31.2546,31.3108,31.4883,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Bio_1p5Degree,12.2149,16.0393,22.9552,22.8097,18.9431,20.8736,23.7057,25.528,26.659,27.2195,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Bio_2Degree,12.2149,16.0393,21.1759,24.1688,21.2604,21.8631,25.4985,27.8013,28.9449,29.2062,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Bio_Baseline,12.095,15.1337,17.2401,19.8048,22.3074,25.0127,26.5541,27.6208,28.732,29.1004,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_EEEI_1p5Degree,11.9718,15.544,22.603,22.6576,19.624,20.8131,24.3708,25.4039,26.1217,26.2605,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_EEEI_2Degree,11.9718,15.544,19.9765,23.18,20.8075,21.061,24.8613,26.377,27.2437,27.1986,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_EEEI_Baseline,11.8543,14.7289,16.6924,18.6312,20.1094,22.0509,24.0703,25.408,26.3247,27.4419,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_1p5Degree,12.1385,15.8652,22.8367,23.0375,20.0597,21.5778,24.4371,25.8994,26.8466,27.3803,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_2Degree,12.1385,15.8652,20.6612,24.0534,21.8187,22.334,26.1453,28.1738,29.2493,29.5252,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_Baseline,12.0195,15.0216,17.0979,19.5432,21.891,24.6013,26.2845,27.1463,28.1602,28.8869,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Ref_1p5Degree,12.214,16.0354,22.9541,23.1094,20.1476,22.1845,25.5553,27.4789,28.2992,28.354,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Ref_2Degree,12.214,16.0354,21.1336,24.3367,21.9788,22.9844,27.1484,29.4423,30.1119,30.4379,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Ref_Baseline,12.0941,15.1327,17.2388,19.8017,22.3517,25.0974,26.6483,27.7491,28.8338,29.2098,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_1p5Degree,12.214,16.0354,22.9541,22.9134,18.8398,21.4293,24.7119,26.4388,27.5497,27.5962,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_2Degree,12.214,16.0354,21.0246,23.8139,20.7746,21.9575,26.1479,28.5224,29.3495,29.7499,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_Baseline,12.0941,15.1327,17.2388,19.8017,22.3517,25.0974,26.6483,27.7491,28.8338,29.2098,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_bio_1p5Degree,12.214,16.036,22.9541,22.8829,19.5002,21.4954,24.7198,26.6054,27.8434,27.9838,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_bio_2Degree,12.214,16.036,21.1325,24.1803,21.531,22.3495,26.2114,28.5379,29.4213,29.705,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_bio_Baseline,12.0941,15.1327,17.2388,19.7982,22.3078,25.0265,26.575,27.6539,28.7575,29.1283,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_1p5Degree,12.2014,16.0174,22.939,22.9059,19.7485,21.7647,25.0667,26.9177,27.987,28.0074,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_2Degree,12.2014,16.0174,21.1038,24.0312,21.2796,22.1758,26.3024,28.5219,29.3565,29.5199,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_Baseline,12.0816,15.111,17.2093,19.7341,22.1478,24.9252,26.5392,27.5881,28.7072,29.01,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_solar_1p5Degree,12.2135,16.031,22.9538,22.9099,19.7705,21.8229,25.0052,26.675,27.562,27.5743,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_solar_2Degree,12.2135,16.031,21.0633,24.1068,21.4611,22.4613,26.6692,28.9856,29.7052,30.0708,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_solar_Baseline,12.0936,15.1311,17.2356,19.7778,22.2683,25.0202,26.6105,27.7127,28.8008,29.1765,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_wind_1p5Degree,12.2129,16.0323,22.9526,23.123,20.1192,21.969,25.3692,26.7481,27.5943,27.6222,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_wind_2Degree,12.2129,16.0323,21.0759,23.8992,21.3361,22.494,26.5848,28.9097,29.7275,30.1514,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_wind_Baseline,12.093,15.1313,17.2366,19.7675,22.2485,25.0047,26.5992,27.707,28.8045,29.1742,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_SupTech_1p5Degree,12.1997,16.0104,22.9372,22.3083,16.879,19.4182,23.4547,25.4076,26.5543,27.261,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_SupTech_2Degree,12.1997,16.0104,20.8422,22.6448,18.8692,20.0151,23.5289,25.9511,27.2461,27.3483,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_SupTech_Baseline,12.08,15.108,17.2039,19.6721,21.9088,24.6814,26.3713,27.4134,28.5634,28.8524,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_combined_1p5Degree,11.8761,15.3492,22.4606,21.207,14.9872,15.6971,18.2175,18.804,18.7017,18.3751,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_combined_2Degree,11.8761,15.3492,19.4209,21.4928,17.6959,17.0775,19.5165,20.6444,21.2435,21.2128,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_combined_Baseline,11.7597,14.5821,16.5096,18.2303,19.223,20.4869,22.687,23.4894,24.1779,24.5888,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP1-19,12.2082,15.8805,22.9588,23.7734,21.6375,24.0898,25.3545,25.7569,25.622,25.2723,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP1-26,12.2081,15.8805,20.2274,23.6824,22.3489,23.9966,26.9291,27.5145,27.8986,27.2271,C3,C3: limit warming to 2°C (>67%)
AIM/CGE 2.0,SSP1-34,12.2081,15.8805,19.6799,21.4357,22.5383,25.5685,27.1586,27.9918,28.3673,28.2057,C5,C5: limit warming to 2.5°C (>50%)
AIM/CGE 2.0,SSP1-45,12.2081,15.8864,19.5528,20.5302,20.8811,22.9612,25.4551,26.6859,27.6654,27.7572,C6,C6: limit warming to 3°C (>50%)
AIM/CGE 2.0,SSP1-Baseline,12.0884,15.1612,17.2102,18.4327,18.6717,19.4965,21.4633,22.8893,23.7006,24.1286,C7,C7: limit warming to 4°C (>50%)
AIM/CGE 2.0,SSP2-19,12.2568,15.9645,23.0147,22.4165,18.403,20.4454,22.8199,25.0232,26.533,27.1518,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP2-26,12.2566,15.9652,22.0443,24.287,20.8758,21.458,26.1425,28.5384,29.0315,29.47300000000001,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP2-34,12.2566,15.9652,20.3756,23.1772,22.9026,24.0095,26.6949,29.5097,30.0715,30.5945,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP2-45,12.2566,15.9652,19.7651,21.4099,23.012,25.649,27.5907,28.7407,29.1689,29.6839,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP2-60,12.2566,15.9652,19.7139,21.2154,21.2585,22.8741,24.5166,26.5208,27.657,28.0335,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP2-Baseline,12.1359,15.215,17.3632,20.0382,22.9282,25.6127,27.0831,28.3179,29.2047,29.5943,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP3-34,11.9464,15.3585,18.9171,25.5845,27.2125,28.1868,30.8266,31.7939,31.7939,31.7939,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP3-45,11.9464,15.3585,18.9079,23.7956,26.4626,28.3026,29.6365,30.5877,31.358,31.7939,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP3-60,11.9464,15.3585,18.9073,22.3645,24.9752,25.6989,27.5528,28.7968,29.4507,29.7034,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP3-Baseline,11.828,14.6305,16.602,19.2812,23.455,26.1952,27.2433,28.2207,28.8015,28.9681,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP4-26,12.4358,16.144,20.7599,23.1351,20.2013,20.7591,23.175,25.6522,26.8162,27.2844,C3,C3: limit warming to 2°C (>67%)
AIM/CGE 2.0,SSP4-34,12.4358,16.144,20.1594,21.9552,21.7306,23.6153,24.9903,26.156,26.9415,26.995,C5,C5: limit warming to 2.5°C (>50%)
AIM/CGE 2.0,SSP4-45,12.4358,16.144,19.932,21.0633,21.3637,22.9238,24.4886,26.1258,27.0485,26.9538,C6,C6: limit warming to 3°C (>50%)
AIM/CGE 2.0,SSP4-Baseline,12.3131,15.408,17.5098,19.0834,20.008,20.7683,21.4408,22.1799,22.8128,23.3124,C7,C7: limit warming to 4°C (>50%)
AIM/CGE 2.0,SSP5-26,12.068,15.7415,22.7296,25.042,22.1005,23.4478,26.382,28.7531,29.6123,29.5829,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP5-34,12.068,15.7415,20.7574,24.9352,23.8473,27.0315,30.0041,31.5067,31.7939,31.7939,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP5-45,12.068,15.7415,19.7911,23.366,26.036,27.5357,29.1386,30.4421,31.0549,31.2592,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP5-60,12.068,15.7415,19.6709,22.8985,25.2075,26.9484,28.1854,29.4786,29.8172,30.1098,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP5-Baseline,11.949,14.9082,17.0045,19.7099,23.7332,26.3678,28.2879,29.7049,29.9165,30.3165,failed-vetting,failed-vetting
AIM/CGE 2.1,CD-LINKS_INDC2030i_1600,12.5378,17.0773,20.4778,25.8523,19.654,19.2586,20.5429,22.4078,23.5437,23.791,C5,C5: limit warming to 2.5°C (>50%)
AIM/CGE 2.1,CD-LINKS_INDCi,12.5381,17.0698,20.4482,20.338,19.3706,19.4535,21.1107,23.4175,24.0988,24.744,C7,C7: limit warming to 4°C (>50%)
AIM/CGE 2.1,CD-LINKS_NDC2030i_1000,12.5378,17.0773,20.4778,25.7847,24.367,22.8013,24.6004,24.7292,24.7153,25.0044,C4,C4: limit warming to 2°C (>50%)
AIM/CGE 2.1,CD-LINKS_NPi,12.6547,16.7497,18.57,20.3136,22.4309,24.7255,26.9441,27.6325,28.0056,28.7622,failed-vetting,failed-vetting
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,12.6597,17.1927,24.2039,21.3328,14.7325,15.4524,17.3926,18.1266,19.227,20.906,C3,C3: limit warming to 2°C (>67%)
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,12.5378,17.1361,23.8302,19.4124,16.9558,18.2691,19.471,21.0868,22.8363,23.6089,C5,C5: limit warming to 2.5°C (>50%)
AIM/CGE 2.1,CD-LINKS_NPi2020_400,12.6558,17.188,24.7495,23.0257,22.6999,22.7526,23.6459,25.48,25.5679,25.7408,C1,C1: limit warming to 1.5°C (>50%) with no or limited overshoot
AIM/CGE 2.1,CD-LINKS_NoPolicy,12.3931,15.7105,19.0532,21.478,24.0354,26.5766,28.2439,28.4852,28.8701,29.2482,failed-vetting,failed-vetting
AIM/CGE 2.1,CO_2Deg2020,11.6784,14.6642,23.3782,26.4998,25.8307,25.902376644156757,27.280806393032176,28.372420627857878,29.380657295549387,29.85272109512546,no-climate-assessment,no-climate-assessment
AIM/CGE 2.1,CO_2Deg2030,11.6784,14.66,18.6715,25.7234,29.5601,25.902376644156757,27.280806393032176,28.372420627857878,29.380657295549387,29.85272109512546,no-climate-assessment,no-climate-assessment
AIM/CGE 2.1,CO_BAU,11.6786,14.5093,17.2271,18.5597,20.0354,25.902376644156757,27.280806393032176,28.372420627857878,29.380657295549387,29.85272109512546,no-climate-assessment,no-climate-assessment
AIM/CGE 2.1,CO_Bridge,11.6784,14.6572,19.5328,24.6184,25.9415,26.8964,27.5218,28.172,28.253,28.2872,C3,C3: limit warming to 2°C (>67%)
AIM/CGE 2.1,CO_CurPol,11.6784,14.5148,17.2146,18.5698,20.1771,21.089,21.4886,21.9989,22.6761,23.4251,C7,C7: limit warming to 4°C (>50%)
AIM/CGE 2.1,CO_GPP,11.6784,14.6572,19.5328,22.6991,24.5177,25.902376644156757,27.280806393032176,28.372420627857878,29.380657295549387,29.85272109512546,no-climate-assessment,no-climate-assessment
AIM/CGE 2.1,CO_NDCplus,11.6784,14.66,18.6715,20.1456,20.5268,25.902376644156757,27.280806393032176,28.372420627857878,29.380657295549387,29.85272109512546,no-climate-assessment,no-climate-assessment
AIM/CGE 2.1,EMF33_Baseline,12.2203,15.3886,17.5477,19.7843,22.7218,24.9083,26.3633,26.4779,26.736,27.2274,failed-vetting,failed-vetting
AIM/CGE 2.1,EMF33_Med2C_cost100,12.1802,15.9653,22.8293,20.2178,15.3622,14.9765,17.7873,18.6726,19.9012,20.9975,failed-vetting,failed-vetting
AIM/CGE 2.1,EMF33_Med2C_full,12.1803,15.9657,22.7934,19.8895,15.0461,14.4691,16.5017,17.8341,19.0232,20.0384,failed-vetting,failed-vetting
AIM/CGE 2.1,EMF33_Med2C_nobeccs,12.1803,15.9657,22.7971,20.7212,16.0527,17.027,23.831,24.7582,25.4784,26.0054,failed-vetting,failed-vetting
AIM/CGE 2.1,EMF33_Med2C_nofuel,12.1803,15.967,22.9071,21.3061,17.4685,19.6084,26.5681,27.4194,27.6076,27.5211,failed-vetting,failed-vetting
AIM/CGE 2.1,EMF33_Med2C_none,12.1808,15.9672,22.9757,21.4713,17.9114,20.4664,27.3733,28.1326,28.0154,27.9114,failed-vetting,failed-vetting
AIM/CGE 2.1,EMF33_WB2C_cost100,12.1802,15.9653,22.8293,21.838,16.7039,16.3035,22.6175,23.0459,23.2659,23.4921,failed-vetting,failed-vetting
AIM/CGE 2.1,EMF33_WB2C_full,12.1803,15.9657,22.7934,21.7547,15.8024,14.6569,20.8543,21.222,21.2988,21.1493,failed-vetting,failed-vetting
AIM/CGE 2.1,EMF33_tax_hi_full,12.1803,15.8834,20.9385,26.019,29.5356,30.865,31.7939,31.7939,31.7939,31.7939,failed-vetting,failed-vetting
AIM/CGE 2.1,EMF33_tax_hi_none,12.1808,15.8838,20.9373,26.1509,29.7004,31.1613,31.7939,31.7939,31.7939,31.7939,failed-vetting,failed-vetting
AIM/CGE 2.1,EMF33_tax_lo_full,12.1803,15.8834,20.3698,23.6415,27.1933,29.4689,31.5933,31.7939,31.7939,31.7939,failed-vetting,failed-vetting
AIM/CGE 2.1,EMF33_tax_lo_none,12.1808,15.8838,20.3694,23.7479,27.389,29.7842,31.6606,31.7939,31.7939,31.7939,failed-vetting,failed-vetting
AIM/CGE 2.1,TERL_15D_LowCarbonTransportPolicy,12.2255,16.1267,23.0704,19.7877,13.2564,10.517,11.7717,14.4501,18.1937,22.0427,failed-vetting,failed-vetting
AIM/CGE 2.1,TERL_15D_NoTransportPolicy,12.2475,16.1611,23.116,19.8654,13.5665,11.0793,13.391,16.7889,21.1718,24.3957,failed-vetting,failed-vetting
AIM/CGE 2.1,TERL_2D_LowCarbonTransportPolicy,12.2255,16.1267,23.0704,20.9928,18.94400000000001,19.005,20.0171,22.3284,26.0913,27.9282,failed-vetting,failed-vetting
AIM/CGE 2.1,TERL_2D_NoTransportPolicy,12.2475,16.1611,23.116,20.8792,18.024,18.2185,19.815,23.9409,27.2854,28.5033,failed-vetting,failed-vetting
AIM/CGE 2.1,TERL_Baseline_LowCarbonTransportPolicy,12.2636,15.508,17.7367,20.2108,23.5342,24.9884,26.4532,27.9078,28.7188,29.2169,failed-vetting,failed-vetting
AIM/CGE 2.1,TERL_Baseline_NoTransportPolicy,12.2862,15.5271,17.7545,20.163,23.2977,25.0039,26.6044,27.8647,28.6894,29.1475,failed-vetting,failed-vetting
AIM/CGE 2.2,EN_INDCi2030_1000f,12.1773,15.9384,21.435,29.4325,29.24,29.864,30.3902,30.7866,31.2208,31.5969,C3,C3: limit warming to 2°C (>67%)
