Model,Scenario,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category,Category_name
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,10.6936,13.6748,20.6623,24.4025,23.8998,22.7456,24.8489,28.693,33.9363,31.4231,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2020_Med2C,10.6936,13.6748,20.6012,19.9919,16.7265,17.9794,20.6432,22.88300000000001,25.6623,29.7354,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2020_WB2C,10.6936,13.6748,20.6015,20.5088,16.1776,17.8694,21.7702,24.7531,27.3232,32.4023,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_Med2C,10.6936,13.6791,20.7819,26.5493,24.1309,23.7247,26.5437,28.5637,31.5889,36.9994,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,10.7511,13.7469,20.8704,24.2239,22.0141,20.9247,23.2125,27.1917,31.8887,31.3821,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_WB2C,10.6936,13.6791,20.7819,26.5495,32.1661,37.2863,45.9562,52.4475,58.4009,69.4125,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_INDC,10.7511,13.7474,20.8679,25.055,25.2815,28.2363,41.1071,50.3656,61.0623,72.4861,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_NoPolicy,10.5698,12.585,14.442,16.5418,19.0523,22.5297,25.5301,28.3783,31.9292,36.2265,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_Reference,10.7511,13.7474,20.8033,24.3438,26.2149,29.7884,34.3545,35.8525,40.0042,45.9899,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_BCOC-EndU,11.0019,12.9604,14.8106,17.0702,20.1648,24.2286,28.7096,33.3289,38.4709,44.1564,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Baseline,11.005,12.9652,14.8183,17.0997,20.219,24.3371,28.8684,33.534,38.7349,44.4928,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_CH4-Only,11.1452,14.12,21.2403,25.9945,30.4849,36.721,43.662,51.0966,59.2055,68.238,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy,11.1452,14.1243,21.1155,23.3629,22.371,25.8297,31.8242,39.0179,47.7803,58.6074,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy+SLCF,11.1404,14.1178,21.0928,22.8282,21.3736,24.4503,30.1144,36.9341,45.2259,55.4404,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_BCOC-Red,11.005,12.9652,14.8183,17.0997,20.219,24.3371,28.8684,33.534,38.7349,44.4928,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_CH4-ClimPolicy,11.1452,14.12,21.2392,26.0207,30.595,37.2065,45.5937,54.3048,62.6161,72.4608,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_CO2-Only,11.1452,14.1243,21.1346,24.7323,26.8307,32.0164,39.7291,48.7581,58.9602,70.6543,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-CH4,11.005,12.9652,14.8183,17.0997,20.219,24.3371,28.8684,33.534,38.7349,44.4928,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-EF,11.005,12.9652,14.8183,17.0997,20.219,24.3371,28.8684,33.534,38.7349,44.4928,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-EF-EndU,11.005,12.9652,14.8183,17.0997,20.219,24.3371,28.8684,33.534,38.7349,44.4928,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-EF-SLCF,11.005,12.9652,14.8183,17.0997,20.219,24.3371,28.8684,33.534,38.7349,44.4928,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_SLCF,11.1406,14.1128,21.2266,25.9259,30.3515,36.5043,43.3838,50.7584,58.7921,67.7212,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-Action,11.1452,14.1277,21.2365,25.9735,28.1726,34.0787,41.657,51.0366,61.8722,73.7821,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-Action+SLCF,11.1406,14.1216,21.2265,25.9852,28.376,34.4549,41.9299,51.4479,62.5169,74.9676,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-to-faster,11.1452,14.1277,21.2371,27.0932,31.9556,34.1381,40.1672,49.2341,60.5089,74.1604,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-to-faster+SLCF,11.1406,14.1204,21.2232,27.0598,33.3559,40.4221,48.3646,57.731,68.0725,81.5096,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-to-faster+SLCF+HFC,11.1406,14.1204,21.2232,27.0597,33.3081,40.3288,48.3732,57.7386,68.0795,81.5164,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Bio_1p5Degree,11.1279,14.084,21.0201,23.5819,20.0722,23.3534,28.3535,33.6013,37.9928,41.4375,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Bio_2Degree,11.1279,14.084,21.1193,25.4663,24.2091,26.3074,31.5582,37.5333,42.8513,48.0097,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Bio_Baseline,10.9248,12.8851,14.7415,17.024,19.9731,23.9291,28.1125,32.3968,37.1798,41.5119,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_EEEI_1p5Degree,11.0339,13.9332,20.7726,23.3215,21.0749,23.8398,29.0106,34.2728,39.1887,43.9325,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_EEEI_2Degree,11.0339,13.9332,20.8718,25.2404,24.196,25.8642,31.2036,36.5864,41.2311,45.1353,failed-vetting,failed-vetting
