Model,Scenario,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category,Category_name
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,4.792,5.9988,6.347,2.936,2.7801,3.6248,4.0033,4.1863,4.065,6.8558,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2020_Med2C,4.792,5.9989,6.69,6.4975,6.4588,6.65,7.1321,7.3557,7.7843,8.5475,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2020_WB2C,4.792,5.9989,6.7036,5.1783,6.7916,7.0129,7.1688,8.5122,9.2102,9.1333,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_Med2C,4.792,5.9988,6.6109,5.5269,5.9498,7.125,7.5577,7.9276,8.2785,9.1745,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,4.8368,6.1056,6.6355,2.9384,2.1084,4.5039,5.0422,5.4668,5.4361,8.4708,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_WB2C,4.792,5.9988,6.6109,5.5246,3.0363,4.0099,2.826,4.8636,6.1236,5.2075,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_INDC,4.8368,6.1056,6.6895,7.3154,7.6854,7.9954,7.326,7.6743,7.9793,7.9994,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_NoPolicy,4.79,6.1204,7.6138,9.4704,11.2336,12.6534,12.9306,13.6745,14.9292,14.2365,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_Reference,4.8368,6.1056,6.9098,8.0781,9.246,10.5117,11.0711,11.1176,11.5353,10.6584,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_BCOC-EndU,4.8056,6.2646,7.8436,9.5959,11.0388,12.4365,14.1285,15.5187,16.2892,15.9493,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Baseline,4.8078,6.2496,7.777,9.5497,11.0054,12.4123,14.1043,15.4935,16.2732,15.8582,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_CH4-Only,4.8102,6.1401,7.2783,8.8306,10.1518,11.4655,13.0396,14.3459,15.0498,14.6447,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy,4.8256,6.2766,7.2511,6.8464,6.7202,7.0529,7.6874,8.0205,7.459,4.9398,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy+SLCF,4.8241,6.2959,7.1326,6.8402,6.8445,7.1678,7.781000000000001,8.0857,7.4943,4.933,failed-vetting,failed-vetting
