Model,Scenario,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category,Category_name
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,0.1063,0.3971,11.0736,42.2633,67.7695,72.53960000000002,78.0363,86.8299,97.159,86.1586,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2020_Med2C,0.1063,0.3971,8.1236,18.2727,25.9306,32.1732,35.7174,37.5468,40.3289,45.3895,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2020_WB2C,0.1063,0.3971,8.1711,28.3169,38.3896,50.8717,61.2989,62.4392,65.5354,75.8795,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_Med2C,0.1063,0.4169,2.865,22.6369,31.6166,35.3484,39.3462,40.2413,42.5774,48.6528,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,0.1075,0.4225,2.8905,41.0302,68.0261,72.3323,79.033,86.0778,94.9462,87.8526,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_WB2C,0.1063,0.4169,2.865,22.8059,52.0604,66.1857,86.1704,82.7436,84.6217,97.2994,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_INDC,0.1075,0.4257,2.9577,9.6868,19.5129,24.8662,34.7535,42.8119,48.5925,54.6717,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_NoPolicy,0.1066,0.243,0.5707,1.2803,2.5559,3.2476,3.6104,4.1274,4.8561,5.8183,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_Reference,0.1075,0.4257,1.7961,4.8227,8.8723,9.9875,11.0275,12.2957,14.073,16.2529,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_BCOC-EndU,0.1153,0.2997,0.7449,1.6653,3.3105,4.2304,5.1294,6.2459,7.2863,8.3959,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Baseline,0.1154,0.2987,0.7364,1.653,3.2945,4.2162,5.1151,6.2313,7.271,8.3912,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_CH4-Only,0.1152,0.3093,0.8105,1.8062,3.3071,3.9152,4.7199,5.7809,6.7067,7.6894,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy,0.116999999999999,0.5658000000000001,6.8772,17.9741,29.6121,39.852,51.0997,63.6132,79.619,109.6466,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy+SLCF,0.1167,0.5771000000000001,7.8215,18.7698,30.4527,40.5244,52.0336,64.6664,80.7479,110.1411,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_BCOC-Red,0.1154,0.2987,0.7364,1.653,3.2945,4.2162,5.1151,6.2313,7.271,8.3912,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_CH4-ClimPolicy,0.1152,0.3111,0.8079000000000001,1.8049,3.3423,4.0955,5.3888,6.5283,7.4138,8.3945,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_CO2-Only,0.1169,0.5645,5.6166,18.3725,35.5713,54.8382,89.9855,98.5906,104.5795,117.4771,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-CH4,0.1154,0.2987,0.7364,1.653,3.2945,4.2162,5.1151,6.2313,7.271,8.3912,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-EF,0.1154,0.2987,0.7364,1.653,3.2945,4.2162,5.1151,6.2313,7.271,8.3912,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-EF-EndU,0.1154,0.2987,0.7364,1.653,3.2945,4.2162,5.1151,6.2313,7.271,8.3912,failed-vetting,failed-vetting
