Model,Scenario,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category,Category_name
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,0.5002,1.3562,28.5179,83.1742,101.698,106.3001,108.9879,118.0979,131.1118,115.7158,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2020_Med2C,0.5002,1.3564,21.6592,39.9394,48.1126,58.8552,63.558,65.6075,69.4856,78.206,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2020_WB2C,0.5002,1.3564,21.8549,62.5676,69.3046,85.4285,95.5356,93.8953,96.1662,107.2992,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_Med2C,0.5002,1.4252,10.2445,44.7548,55.0259,60.5196,65.5517,65.0725,67.0672,76.0969,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,0.5046,1.4187,10.37,82.8842,107.1958,109.3578,115.4569,124.1011,134.3341,120.6873,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_WB2C,0.5002,1.4252,10.2445,45.2052,85.00399999999998,101.9557,114.7983,106.3785,105.7795,116.9796,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_INDC,0.5046,1.4225,10.4801,22.8547,33.5414,42.0136,53.5894,63.2128,72.6894,82.5773,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_NoPolicy,0.5015000000000001,0.9383,1.7318,2.9984,4.6772,6.039,6.8502,7.7927,9.0348,10.8763,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_Reference,0.5046,1.4225,5.44,10.4727,15.7793,17.9734,19.793,21.1167,22.3848,24.6847,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_BCOC-EndU,0.5679000000000001,1.1976,2.3223,4.0314,6.1755,7.7734,9.4712,11.4723,13.1896,15.3102,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Baseline,0.5684,1.1928,2.2912,4.0009,6.1463,7.7463,9.4436,11.4446,13.1605,15.299,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_CH4-Only,0.5670000000000001,1.2254,2.4552,4.2856,6.1972,7.3254,8.7385,10.6149,12.2239,14.0789,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy,0.5679000000000001,2.175,18.7539,39.0589,54.0872,71.5744,84.8184,99.8985,117.6631,143.7067,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy+SLCF,0.5675,2.2116,20.9506,41.0553,55.5939,72.0038,86.029,101.0001,118.9733,147.0145,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_BCOC-Red,0.5684,1.1928,2.2912,4.0009,6.1463,7.7463,9.4436,11.4446,13.1605,15.299,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_CH4-ClimPolicy,0.5669000000000001,1.2172,2.435,4.2666,6.2588,7.6324,9.9293,11.9661,13.4085,15.267,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_CO2-Only,0.5673,2.167,15.8609,40.3903,65.2169,91.5729,132.3485,131.3039,130.3561,139.1142,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-CH4,0.5684,1.1928,2.2912,4.0009,6.1463,7.7463,9.4436,11.4446,13.1605,15.299,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-EF,0.5684,1.1928,2.2912,4.0009,6.1463,7.7463,9.4436,11.4446,13.1605,15.299,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-EF-EndU,0.5684,1.1928,2.2912,4.0009,6.1463,7.7463,9.4436,11.4446,13.1605,15.299,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-EF-SLCF,0.5684,1.1928,2.2912,4.0009,6.1463,7.7463,9.4436,11.4446,13.1605,15.299,failed-vetting,failed-vetting
